Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Εναλλακτικό Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας
ΣΤΡΑΤΟΣ,"


15 Χλμ
",2,www.stratoshotelsamos.com,info@stratoshotelsamos.com,22730-61880,,,22730-61881,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΣΥΛΒΕΡ ΜΠΑΙΥ – ΑΣΗΜΕΝΙΟΣ ΚΟΛΠΟΣ,"


5 Χλμ
",3,www.silverbay.gr,info@silverbay.gr,22510-42410,22510-46638,,22510-42860,,Αλυφαντά,ΜΥΤΙΛΗΝΗ ΛΕΣΒΟΥ (ΑΛΥΦΑΝΤΑ),811 00
ΣΩΤΗΡΗΣ,"


0.5 Χλμ
",2,www.hotelsotiris.gr,papatonhotel@yahoo.gr,2254025416,2251043257,6909484988,22540-25816,,Μύρινα,ΑΝΔΡΩΝΙ,814 00
ΤΑΡΣΑΝΑΣ,,2,,gplast55@otenet.gr,22730-61210,,,,,Πυθαγόρειο,,831 03
ΤΟ ΚΥΜΑ,"


0.8 Χλμ
",3,www.kymalemnos.gr,info@kymalemnos.gr,22540-71333,22540-71066,2254-071333,22540-71484,2254-071484,Μούδρος,ΜΟΥΔΡΟΣ ΛΗΜΝΟΥ,814 01
ΤΟ ΜΑΣΤΙΧΟΣΠΙΤΟ ΣΤΟ ΠΥΡΓΙ,,3,www.mastihahouse.gr,info@mastihahouse.gr,22710-72900,,,,,Πυργί,ΠΥΡΓΙ ΧΙΟΥ,821 02
ΤΟ ΠΟΥΝΤΙ,"


0.5 Χλμ
",3,www.chioshotel-pounti.gr,chioshotel-pounti@hotmail.com,22710-72739,6977703863,6976886351,22710-72739,22710-44267,Πυργί,,821 02
ΤΣΙΓΚΩΝΑΣ,,3,,roukounakisk@gmail.com,2272023006,,,,,Καρδάμυλα,,82300
ΤΣΙΠΟΥΡΙ,,3,,gorgona5@otenet.gr,2253071877,,,2253071893,,Μήθυμνα,,81108
ΥΔΡΙΛΗ,"


17 Χλμ
",3,www.hydrelebeach.com,hydrele@sam.forthnet.gr,22730-61702,22730-61541,,22730-61602,,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 03
ΦΑΙΔΡΑ,"


2 Χλμ
",3,,faidrabnb@gmail.com,2271081466,,,,,Χίος,ΛΙΒΑΝΟΥ 25,821 00
ΦΑΜΠΡΙΚΑ,"


0.2 Χλμ
",3,www.chiosfabrika.gr,fabrika_chios@yahoo.com,22740-22045,,,,,Βολισσός,ΒΟΛΙΣΣΟΣ ΧΙΟΥ,821 03
ΦΙΛΙΟΠΠΗ,"


0.1 Χλμ
",3,www.island-ikaria.com,filioppi@otenet.gr,22750-24124,22750-24058,,22750-24126,,Άγιος Κήρυκος,,833 00
ΦΙΛΟΚΤΗΤΗΣ,"


0.6 Χλμ
",2,www.hotelfiloktitis.gr,kiveli1974@yahoo.gr,2254023344,6936726600,6936726600,,2254024458,Μύρινα,,814 00
ΦΙΛΟΞΕΝΕΙΑ,"


1.5 Χλμ
",1,,aiposlp@gmail.com,22710-22813,6948064191,,22710-41329,,Χίος,ΒΟΥΠΑΛΟΥ 8,821 00
ΦΡΟΣΩ,"


13 Χλμ
",2,,,22730-61559,,2273-091540,22730-91674,2273-091674,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΦΥΤΩ,"


15 Χλμ
",3,www.fabresort.gr,info@fabresort.gr,2273062900,2273062900,2273-061244,22730-62045,2273-062045,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΦΩΤΟ,"


3 Χλμ
",2,,mariatripodi1987@gmail.com,22750-33055,,,22750-33055,,Εύδηλος,,833 02
ΧΑΛΚΙΩΤΗΣ ΞΕΝΟΔΟΧΕΙΟ & ΔΙΑΜΕΡΙΣΜΑΤΑ,"


17.8 Χλμ
",3,,papazoglou.dimitra@yahoo.gr,6947670590,,,,,Άναξος Σκουτάρου,,81109
ΧΑΡΙΣ,"


2 Χλμ
",3,www.harris-hotel.gr,info@harris-hotel.gr,22530-42221,6978-860157,6978-860157,22530-42221,,Άναξος Σκουτάρου,,811 09
ΧΙΟΣ ΧΑΝΔΡΗΣ,"


3 Χλμ
",4,www.chandris.gr,chios@chandris.gr,2271044401,2271040444,,22710-25768,,Χίος,ΕΥΓΕΝΙΑΣ ΧΑΝΔΡΗ 2 ΠΡΟΚΥΜΑ,821 00
ΧΡΙΣΤΙΝΑΣ ΓΚΑΡΝΤΕΝ,,2,www.christinas-garden.com,iggynatis@hotmail.com,6949203344,,2253041619,2253041649,2253041649,Άναξος Σκουτάρου,,81109
ΧΡΥΣΗ ΑΜΜΟΣ,"


8 Χλμ
",4,www.goldensand.gr,info@goldensand.gr,22710-32080/1,,2271-032080,22710-31700,2271-031700,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΧΡΥΣΗ ΟΔΥΣΣΕΙΑ,"


6 Χλμ
",3,,,22710-41709,41711,2271-041500,,2271-041715,Χίος,ΤΑΧ.ΘΥΡΙΔΑ 205,821 00
ΧΡΥΣΟΣ ΗΛΙΟΣ,"


0.15 Χλμ
",2,www.kokkari-goldensun.gr,goldensunsamos@gmail.com,22730-92161,,2273-092395,22730-92161,2273-092161,Κοκκάρι,,831 00
ΧΩΡΙΟ ΒΑΡΟΣ ΛΗΜΝΟΥ I,"


20 Χλμ
",4,www.varosvillage.com,director@varosvillage.com,22540-31728,210-7251038,6936782808,210 7295780,2254031726,Βάρος,ΒΑΡΟΣ ΛΗΜΝΟΥ,814 01
ΧΩΡΙΟ ΒΑΡΟΣ ΛΗΜΝΟΥ II,"


20 Χλμ
",4,www.varosvillage.com,director@varosvillage.com,22540-31728,210-7251038,,22540-31726,,Βάρος,ΒΑΡΟΣ ΛΗΜΝΟΥ,814 01
ΧΩΡΙΟ ΛΙΜΝΙΩΝΑ,"


15 Χλμ
",2,,harmonik@polites.tv,22730-37274,,2273-037274,22730-31740,2273-031740,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 00
ΧΩΡΙΟ ΤΗΣ ΚΕΡΒΕΛΗΣ,"


10 Χλμ
",3,www.kerveli.gr,info@kerveli.gr,22730-23006,22730-22334,,22730-23006,,Χαραυγή,ΚΕΡΒΕΛΗ ΣΑΜΟΥ,831 00
ΨΑΡΑ,"


0.15 Χλμ
",1,,polixron@yahoo.gr,22740-61180,,,22740-61180,,Ψαρά,ΨΑΡΑ ΧΙΟΥ,821 04
ΩΚΕΑΝΙΑ,"


2 Χλμ
",1,,staytsir1988@yahoo.gr,22710-32272,,2271-031774,22710-31774,,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΩΚΕΑΝΙΣ,"


5 Χλμ
",2,www.studios-oceanis.gr,gdilanas@hotmail.com,22730-37333,,21-09344706,22730-37089,2273-037089,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
ΩΡΑΙΑ ΘΕΑ,,1,,bellavista_mk@yahoo.gr,22730-27660,,2273-027660,,,Σάμος,ΚΑΛΑΜΙ,831 00
