Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΡΟΜΑΝΤΙΚΑ,"


6 Χλμ
",2,romantika_hotel@hotmail.com,22810-61211,22810-61500,Βάρη,841 00,,,2281-087007,,2281-061500
ΡΟΜΑΝΤΙΚΑ,"


0.6 Χλμ
",2,romanticahotel@yahoo.gr,22450-22460,22450-23267,Κάρπαθος,857 00,,22450-22461,2245-022460,ΚΑΡΠΑΘΟΣ (ΠΗΓΑΔΙΑ),2245-023267
ΡΟΥΑΓΙΑΛ ΜΥΚΟΝΙΑΝ,"


8 Χλμ
",5,royal@myconiancollection.gr,22890-72000,22890-79590,Άνω Μερά,846 00,www.myconiancollection.gr,2289079569,2289-072000,ΕΛΙΑ ΜΥΚΟΝΟΥ,2289-079590
ΡΟΥΛΑ,,3,,22460-45028,,Χάλκη,851 10,,,,ΧΑΛΚΗ,
ΡΟΥΣΣΕΤΟΣ,"


0.02 Χλμ
",2,roussetosp@gmail.com,22850-74176,22850-71844,Κουφονήσι,843 00,www.roussetoshotel.gr,,,ΚΟΥΦΟΝΗΣΙΑ ΚΥΚΛΑΔΩΝ,
ΡΟΥΣΣΟΣ ΜΠΗΤΣ,,2,hotelroussos@gmail.com,22840-52985,,Νάουσα,846 00,,,,,
ΡΟΧΑΡΗ,"


0.3 Χλμ
",3,reservations@rochari.com,22890-23107,22890-24307,Μύκονος,846 00,www.rochari.com,22890-23108,00306976645900,ΜΥΚΟΝΟΣ,2289-024307
ΡΩΜΑΙΟΣ,"


1 Χλμ
",3,romaiou@otenet.gr,22470-31962,22470-31070,Πάτμος,855 00,,6944769829,2241-033752,ΣΚΑΛΑ ΠΑΤΜΟΥ,2247-031070
Σ.ΝΙΚΟΛΗΣ,"


0.5 Χλμ
",1,info@s-nikolis.gr,22410-34561,22410-32034,Ρόδος,851 00,www.s-nikolis.gr,,2241-034561,ΙΠΠΟΔΑΜΟΥ 61,2241-032034
ΣΑΒΒΑΣ,"


0.5 Χλμ
",1,savvas-h@otenet.gr,22850-26133,22850-26133,Νάξος,843 00,www.naxos-hotels.com,,,ΧΩΡΑ ΝΑΞΟΥ,
ΣΑΒΟΥ,"


2 Χλμ
",2,reception@savoy.gr,22410-20721,22410-21720,Ρόδος,851 31,www.savoy.gr,22410-20722,,ΕΘΕΛ.ΔΩΔΕΚΑΝΗΣΙΩΝ 9,
ΣΑΙΝΤ ΑΜΜΩΝ,"


0.5 Χλμ
",1,saintamonhotel@gmail.com,22410-85430,2241085430,Φαληράκι,851 05,www.saintamonhotel-faliraki.com,6944642163,6932-663180,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΣΑΚΑΛΛΗΣ ΙΝ,,2,sacallis@yahoo.gr,22420-71010,,Κέφαλος,853 01,,22420-72130,,ΚΕΦΑΛΟΣ ΚΩ,
ΣΑΜΕΡ ΣΕΝΣΙΣ,,5,kbouzas@gmail.com,2284093000,2107292597,Μάρπησσα,84400,www.summersenses.gr,2107294288,2107294288,,
ΣΑΜΠΙΝΑ,"


19 Χλμ
",3,info@sabinahotel.gr,22410-41613,22410-41681,Θεολόγος,851 00,www.sabinahotel.gr,22410-41635,6978-487748,ΘΕΟΛΟΓΟΣ ΡΟΔΟΥ,2241-034157
ΣΑΝ ΑΝΤΟΝΙΟ,,4,info@sanantonio-santorini.com,22860-24388,,Θήρα,847 00,www.sanantonio-santorini.com,,,ΘΗΡΑ,
ΣΑΝ ΜΑΡΚΟΣ ΚΟΛΠΟΣ ΧΟΥΛΑΚΙΑ,"


6 Χλμ
",5,sanmarco@sanmarco.gr,22890-27172,22890-25376,Μύκονος,846 00,www.sanmarco.gr,,21-03216739,ΧΟΥΛΑΚΙΑ ΜΥΚΟΝΟΥ,21-03218487
ΣΑΝ ΜΠΗΤΣ,"


9 Χλμ
",4,sbinfo@harmonyresorts.gr,22410-93821,22410-95688,Ιαλυσός,851 01,www.sunbeach-rhodes.gr,22410-93822,2241-093821/5,ΙΑΛΥΣΟΣ ΡΟΔΟΥ,2241-095688
ΣΑΝ ΜΠΗΤΣ 2,"


9 Χλμ
",4,sbaccounts@harmonyresorts.gr,22410-93821,22410-95688,Ιαλυσός,851 01,www.sunbeach-rhodes.gr,,2241-093821,ΦΕΡΕΝΙΚΗΣ,2241-095688
ΣΑΝ ΠΑΛΛΑΣ – ΗΛΙΟΣ ΠΑΛΛΑΣ,"


1 Χλμ
",4,sunpalace@aquasolhotels.gr,22410-85650,22410-85911,Φαληράκι,851 05,www.aquasolhotels.com,22410-85650,2241-085650,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-085911
ΣΑΝ ΠΑΛΛΑΣ – ΗΛΙΟΥ ΜΕΛΑΘΡΟΝ,"


4 Χλμ
",4,info@sunpalace.gr,22420-24530/4,22420-24532,Κως,853 00,www.sunpalace-kos.com,,2242-024530/4,ΨΑΛΙΔΙ ΚΩΣ,2242-024532
ΣΑΝ-ΡΑΙΖ,"


0.5 Χλμ
",3,info@sunriserodos.gr,22410-75327,,Ρόδος,851 00,https://sunriserodos.gr,,,ΑΚΤΗ ΜΙΑΟΥΛΗ 16-18,
ΣΑΝΝΥ ΑΠΑΡΤΜΕΝΤΣ,"


1 Χλμ
",2,kalsun@otenet.gr,22410-33030,22410-63357,Ρόδος,851 00,,22410-62703,2241-022186,ΑΚΤΗ ΚΑΝΑΡΗ,2241-033021
ΣΑΝΟΥΔΟΣ,"


0.5 Χλμ
",1,info@hotelsanoudos.com,22850-22369,22850-23480,Νάξος,843 00,www.hotelsanoudos.com,22850-24402,2285-022369,ΧΩΡΑ ΝΑΞΟΥ,2285-023480
ΣΑΝΤΑ ΜΑΡΙΑ,,2,th.pellos@gmail.com,2241051249,,Ρόδος,85100,,,,ΙΩΝΟΣ ΔΡΑΓΟΥΜΗ 7,
ΣΑΝΤΑ ΜΑΡΙΑ,"


4 Χλμ
",3,santa1@otenet.gr,22870 21949,22870-22880,Αδάμαντας,848 01,www.santamaria-milos.gr,22870 - 21959,2287-021949,ΑΔΑΜΑΣ ΜΗΛΟΥ,2287-022880
ΣΑΝΤΑ ΜΑΡΙΝΑ,"


2 Χλμ
",4,info@santa-marina.gr,22890-23220,22890-23412,Ορνός,846 00,www.santa-marina.gr,22890-23411,21-04226571,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,21-04226573
ΣΑΝΤΑ ΜΑΡΙΝΑ 1,"


2 Χλμ
",1,info@santa-marina.gr,22890-23220,22890-23412,Ορνός,846 00,www.santa-marina.gr,,2104226571,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,21-04226573
ΣΑΝΤΑ ΜΑΡΙΝΑ 2,,2,info@santa-marina.gr,22890-23220,22890-23412,Ορνός,846 00,www.santa-marina.gr,22890-23411,21-04226571,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,21-04226573
ΣΑΝΤΑ ΜΑΡΙΝΑ-ΗΛΙΑΣ ΠΑΠΑΓΕΩΡΓΙΟΥ,"


3 Χλμ
",5,info@santa-marina.gr,22890-23220,22890-23412,Ορνός,846 00,www.santa-marina.gr,22890-23411,21-04226571,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,21-04226573
ΣΑΝΤΑ ΜΠΑΡΜΠΑΡΑ-ΑΓΙΑ ΒΑΡΒΑΡΑ,"


2 Χλμ
",3,hotelsantabarbara@yahoo.com,22860-81534,22860-85208,Πέρισσα,847 00,www.santorinisantabarbara.gr,,,ΠΕΡΙΣΣΑ ΘΗΡΑΣ,
ΣΑΝΤΕΙ,"


2 Χλμ
",3,info@sundayhotel.gr,2241093740,2241091488,Ιαλυσός,851 01,www.sundayhotel.gr,,,ΔΙΓΕΝΗ 3,
ΣΑΝΤΕΛΛΙΝΗ,"


0.3 Χλμ
",3,santelin@otenet.gr,2286031301,22860-34178,Καμάρι,847 00,www.santellini.gr,2286031301,21-06010683,,21-06010683
ΣΑΝΤΟ ΜΑΡΙΣ,,5,suites.oia@santomaris.gr,2286600630,2286071000,Οία,84700,www.santomaris.gr,,,ΟΙΑ ΣΑΝΤΟΡΙΝΗ,
ΣΑΝΤΟ ΜΙΡΑΜΑΡΕ ΡΕΖΟΡΤ,"


13 Χλμ
",4,info@santomiramare.com,22860-83440,22860-83445,Εμπορειό,847 00,www.santomiramare.com,,22860-83440,ΠΕΡΙΒΟΛΟΣ ΕΜΠΟΡΕΙΟΥ ΘΗΡΑΣ,22860-83445
ΣΑΝΤΟΡΙΝΗ,,1,jonargiros@gmail.com,22860-22593,22860-25804,Θήρα,847 00,,22860-23054,,ΦΗΡΑ ΘΗΡΑΣ,
ΣΑΝΤΟΡΙΝΗ ΓΚΡΕΪΣ,"


2 Χλμ
",5,san.reservations@aubergeresorts.com,22860-21300,22860-21299,Ημεροβίγλι,847 00,www.gracehotels.com/santorini,22860-21040,,ΗΜΕΡΟΒΙΓΛΙ,
ΣΑΝΤΟΡΙΝΗ ΚΑΣΤΕΛΛΙ ΡΗΖΟΡΤ,"


0.2 Χλμ
",5,info@kastelliresort.com,22860-31530,22860-32530,Καμάρι,847 00,www.kastelliresort.com,33530/2,2286-031530,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-032530
ΣΑΝΤΟΡΙΝΗ ΚΡΙΣΤΑΛ ΜΠΛΟΥ,"


8 Χλμ
",4,info@santorinicrystalblue.com,2286031055,,Καμάρι,847 00,www.santorinicrystalblue.com,2286031056,2106130115,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΣΑΝΤΟΡΙΝΗ ΛΕΣΧΗ ΑΝΤΙΣΦΑΙΡΙΣΕΩΣ,"


1.5 Χλμ
",3,info@cave-land.com,22860-22122,,Καρτεράδος,847 00,http://cave-land.com/,22860-23013,,,
ΣΑΝΤΟΡΙΝΗ ΠΑΛΛΑΣ,"


0.8 Χλμ
",4,info@santorinipalacehotel.com,22860-22771,22860-23705,Θήρα,847 00,http://santorinipalace.gr,22860-22781,21-08960030,ΦΗΡΑ ΘΗΡΑΣ,21-08963698
ΣΑΝΤΟΡΙΝΗ ΠΡΙΝΣΕΣ,,3,info@santorini-princess.com,22860-25870,22860-25869,Ημεροβίγλι,847 00,www.santorini-princess.com,,210-8076292,,210-8076295
ΣΑΝΤΟΡΙΝΗ ΣΠΛΕΝΤΟΥΡ ΡΗΖΟΡΤ,,5,info@splendoursantorini.com,2286021600,,Θήρα,84700,www.splendoursantorini.com,2286021607,,,
ΣΑΝΤΟΡΙΝΗΣ ΣΤΑΡ-ΑΣΤΕΡΙ ΣΑΝΤΟΡΙΝΗΣ,"


7 Χλμ
",3,starhtl@otenet.gr,22860-81198,22860-81870,Μεγαλοχώρι,847 00,,,,ΜΕΓΑΛΟΧΩΡΙ ΘΗΡΑΣ,
ΣΑΝΦΛΑΟΥΕΡ,,3,info@sunflowersantorini.gr,22860-32643,,Καμάρι,847 00,www.sunflowersantorini.gr,22860-31759,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΣΑΡΑΓΙΑ ΡΕΣΟΡΤ,"


3 Χλμ
",2,sarayaresort@gmail.com,2247022451,22470-23677,Αγία Μαρίνα,854 00,www.sarayaresort.com,,6948116749,ΑΛΙΝΤΑ ΛΕΡΟΥ,
ΣΑΡΡΗΣ-ΔΙΕΘΝΗΣ,,3,,22450-71496,,Λευκός,857 00,,,,ΚΑΡΠΑΘΟΥ,
ΣΑΧΤΕΡΡΑ,,2,info@sagterra.com,22850-26280,22850-25371,Νάξος,843 00,www.sagterra.com,,,,
ΣΒΕΑ,,2,info@sveahotelrhodos.com,2241077400,,Ρόδος,851 00,www.sveahotelrhodos.com,,,ΜΑΝΔΗΛΑΡΑ 51,
ΣΕΒΑ,,2,info@sevahotel.co.uk,22420-91203,22420-21479,Καρδάμαινα,853 02,,,,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,
ΣΕΒΑΣ,"


2 Χλμ
",1,,22410-36078,22410-30291,Ρόδος,851 00,,22410-39212,2241-039212,ΑΠΟΛ.ΑΜΕΡΙΚΗΣ 37,
ΣΕΒΕΝ ΣΤΑΡΣ,"


0.3 Χλμ
",3,hotelsevenstars@gmail.com,22450-22101,22450-22753,Κάρπαθος,857 00,,22450-22750,2245-031331,ΚΑΡΠΑΘΟΣ,2245-022753
ΣΕΛΗΝΗ,"


6 Χλμ
",3,info@selini-hotel.com,22860-32625,22860-32625,Καμάρι,847 00,,,21-09337422,,
ΣΕΛΛΑΔΑ,"


8 Χλμ
",3,astsar@hotmail.com,22860-32078,2286033090,Καμάρι,847 00,www.sellada.gr,,6944412763,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΣΕΜΕΛΗ,"


3 Χλμ
",2,info@hotelsemeli.com,22850-41977,22850-41926,Άγιος Προκόπιος,843 00,www.hotelsemeli.com,,21-02915697,ΑΓ.ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,
ΣΕΜΕΛΗ,"


0.5 Χλμ
",5,info@semelihotel.gr,22890-27466,22890-27467,Μύκονος,846 00,www.semelihotel.gr,22890-27471/2,2289-027466,ΛΑΚΚΑ ΧΩΡΑΣ -ΜΥΚΟΝΟΣ,2289-027467
ΣΕΜΙΡΑΜΙΣ,"


0.05 Χλμ
",4,info@semiramis.gr,22410-20741,22410-73135,Ρόδος,851 00,www.semiramis.gr,22410-20742,2241-020741,ΙΩΑΝΝΟΥ ΜΕΤΑΞΑ 18,2241-073135
ΣΕΜΙΡΑΜΙΣ,"


0.15 Χλμ
",1,argyreas89@gmail.com,22870-22117,22870-22118,Αδάμαντας,848 00,www.semiramismilos.com,22870-22118,2287-022117,ΑΔΑΜΑΣ ΜΗΛΟΥ,2287-022118
ΣΕΜΙΡΑΜΙΣ,,2,,22420-26655,,Κως,853 00,,,,ΧΑΡΜΥΛΟΥ,
ΣΕΜΙΡΑΜΙΣ 2,"


0.5 Χλμ
",1,,22810-42067,,Γαλησσάς,841 00,,22810-43000,2281-084219,ΓΑΛΗΣΣΑΣ ΣΥΡΟΥ,
ΣΕΝΙΑ,"


0.5 Χλμ
",1,senia@otenet.gr,22840-51971,22840-51971,Νάουσα,844 00,www.seniahotel-paros.com,22840-51700,,ΝΑΟΥΣΑ ΠΑΡΟΥ,
ΣΕΡΑΤΟΝ ΡΟΔΟΣ ΘΕΡΕΤΡΟΝ,"


3 Χλμ
",5,Sales.Rhodes@sheraton.com,22410-75000,22410-76690,Ιαλυσός,851 01,www.sheraton.com/rhodes,,2241-075000,ΙΞΙΑ,2241-076690
ΣΕΡΓΗΣ,"


0.5 Χλμ
",2,info@naxosholidayshotel.com,2285023350-2,22850-23352,Νάξος,843 00,www.naxosholidayshotel.com,,6976912650,ΧΩΡΑ ΝΑΞΟΥ,22850-25458
ΣΕΡΙΦΟΣ ΜΠΗΤΣ – ΑΚΤΗ ΣΕΡΙΦΟΥ,"


4 Χλμ
",2,info@serifosbeach.gr,22810-51209,22810-51789,Σέριφος,840 05,www.serifosbeach.gr,22810-51468,,ΛΕΙΒΑΔΙ ΣΕΡΙΦΟΥ,
ΣΗΣΑΪΝΤ ΚΟΤΑΤΖ,"


3 Χλμ
",2,contact@belvederehotel.com,22890-24871,22890-27696,Ψαρρού,846 00,,,6932-633826,,
ΣΙΒΥΛΛΑ,"


1 Χλμ
",3,sivila1@otenet.gr,22410-51554,22410-52327,Αφάντου,851 03,,,6932-262532,ΠΑΡΑΛΙΑ ΑΦΑΝΤΟΥ Τ.Θ. 346,
ΣΙΓΑΛΑΣ,"


1 Χλμ
",3,info@hotelsigalas.com,2286031260,22860-31480,Καμάρι,847 00,www.hotelsigalas.com,22860-31460,2286-031260,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-031480
ΣΙΚΡΕΤ ΛΕΤΖΕΝΤ ΣΟΥΙΤΣ,,5,info@santorini-secret.com,2286027337,2286071681,Οία,84702,www.santorini-secret.com,,,,
ΣΙΛΒΕΡ ΜΠΗΤΣ,"


1 Χλμ
",3,info@silverbeach.gr,22420-91415,22420-91006,Καρδάμαινα,853 02,www.silverbeach.gr,22420-91102,2242-022769,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,2242-029250
ΣΙΤΥ ΛΑΪΒ,,2,,22420-22556,,Κως,853 00,,,,ΒΑΣ.ΓΕΩΡΓΙΟΥ 6,
ΣΙΦΝΕΙΚΟ ΑΡΧΟΝΤΙΚΟ,"


7 Χλμ
",1,sifneikoarxontiko@gmail.com,22840-71454,22840-71454,Φάρος,840 03,,22840-71422,2284-071422,ΦΑΡΟΣ ΣΙΦΝΟΥ,2284-071454
ΣΙΦΝΟΣ,"


0.5 Χλμ
",2,diasif@otenet.gr,22840-31624,22840-33068,Απολλωνία,840 03,,22840-33068,,ΑΠΟΛΛΩΝΙΑ ΣΙΦΝΟΥ,
ΣΚΑΛΑ,"


2.5 Χλμ
",3,info@skalahotel.gr,22470-31343,22470-31747,Πάτμος,855 00,www.skalahotel.gr,22470-34034,2247-031343,ΣΚΑΛΑ ΠΑΤΜΟΥ,2247-031747
ΣΚΑΛΑ,"


0.01 Χλμ
",2,scalaaparts@gmail.com,2241051788,22410-52400,Αφάντου,851 03,www.scala-aparts.com,2241052400,22410-51788,ΠΡΟΦ.ΗΛΙΑΣ-ΑΦΑΝΤΟΥ-ΡΟΔΟΣ,2241-052400
ΣΚΑΛΑ,"


2.5 Χλμ
",2,skalahtl@otenet.gr,2286092027,22860-92177,Ίος,840 01,www.skala-ios.gr,22860-92327,2286-091284,ΤΣΟΥΚΑΛΑΡΙΑ-ΧΩΡΑ ΙΟΥ,2286092177
ΣΚΑΡΠΑΝΤΟ,,2,scarpantos@yahoo.com,22450-81121,22450-81121,Λακκί,857 00,http://www.scarpantos-studios.com/,,,,
ΣΚΙΟΣ,"


3.5 Χλμ
",2,skhotel@otenet.gr,22890-23417,22890-26220,Ορνός,846 00,,,,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,
ΣΚΟΡΠΙΟΣ,"


5 Χλμ
",4,info@scorpioshotel.gr,22860-33696,22860-33866,Μονόλιθος,847 00,www.scorpioshotel.gr,033666,21-09621875,ΜΟΝΟΛΙΘΟΣ ΘΗΡΑΣ,21-09621875
"ΣΚΟΡΠΙΟΣ ΧΑΟΥΖ ΠΡΟΤΖΕΚΤ, ΝΤΑΟΥΝ ΤΑΟΥΝ 1",,3,mpap@thekla.gr,6934657415,,Άνω Μερά,84600,,,,,
"ΣΚΟΡΠΙΟΣ ΧΑΟΥΖ ΠΡΟΤΖΕΚΤ, ΝΤΑΟΥΝ ΤΑΟΥΝ 2",,3,info@scorpiosmykonos.com,2289029250,,Άνω Μερά,84600,www.scorpiosmykonos.com,2289029251,,,
ΣΜΑΡΑΓΔΙ,"


0.2 Χλμ
",2,smaragdisyros@gmail.com,22810-42396,22810-42778,Φοίνικας,841 00,www.smaragdi-hotel.com,22810-43009,,ΦΟΙΝΙΚΑΣ ΣΥΡΟΥ,
ΣΜΑΡΑΓΔΙ,"


0.8 Χλμ
",2,niriideshotel@gmail.com,22420-25735,22420-25735,Κως,853 00,,,6944-602148,ΛΑΜΠΗ ΚΩ,2242-023380
ΣΜΑΡΑΓΔΙ,"


1 Χλμ
",3,emeraldh@otenet.gr,22410-94352,22410-90717,Κρεμαστή,851 04,,,,ΚΕΡΚΥΡΑΣ 10,
ΣΟΛΑΡΙΣ,,2,solaris-hotel@hotmail.com,22860-41297,22860-41271,Φολέγανδρος,840 11,www.solaris-hotel.com,6946268516,,ΘΕΜΩΝΙΕΣ,
ΣΟΝΙΑ,"


0.7 Χλμ
",1,info@hotelsonia.gr,22420-28798,22420-25594,Κως,853 00,www.hotelsonia.gr,22420-25594,21-09522181,ΗΡΟΔΟΤΟΥ 9,
ΣΟΥΙΣ ΧΟΜ -ΕΛΒΕΤΙΚΟ ΣΠΙΤΙ,"


8 Χλμ
",3,swissh@otenet.gr,22840-51633,22840-52026,Νάουσα,844 01,www.swisshome.gr,22840-51387,2284-051387,ΝΑΟΥΣΑ ΠΑΡΟΥ,2284-051387
ΣΟΥΙΤΕΣ ΤΩΝ ΘΕΩΝ,,5,sales@suitesofthegods.com,2286028856,2286021171,Μεγαλοχώρι,84701,www.suitesofthegods.com,,,,
ΣΟΥΛΑ,"


0.3 Χλμ
",1,soulahotelnaxos@gmail.com,2285023196,2285025786,Νάξος,843 00,,2285029129,2285029129,ΑΓ.ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,2285-025786
ΣΟΥΛΗΣ,"


8 Χλμ
",2,soulisapartments@yahoo.gr,22860-72074,22860-72073,Οία,847 00,,,,ΚΟΥΛΟΥΜΠΟΣ,
ΣΟΥΠΕΡ ΣΤΑΡ,"


7 Χλμ
",3,starhtl@otenet.gr,22860-81198,22860-81870,Μεγαλοχώρι,847 00,,,2286-081198,,
ΣΟΦΙΑ,"


0.5 Χλμ
",2,sofia2hotel@gmail.com,22840-31238,22840-33747,Απολλωνία,840 03,https://www.hotelsofia-sifnos.com/el/,,2284-031238,ΑΠΟΛΛΩΝΙΑ ΣΙΦΝΟΥ,
ΣΟΦΙΑ,,2,falirbay@otenet.gr,22410-85423,22410-85724,Φαληράκι,851 05,,22410-85218,2241-087647,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΣΟΦΙΑ,"


1 Χλμ
",1,info@sofiahotelsantorini.com,22860-22802,22860-25400,Θήρα,847 00,www.sofiahotelsantorini.com,,2286-022802,ΦΗΡΟΣΤΕΦΑΝΙ ΘΗΡΑΣ,2286-025400
ΣΟΦΙΑ,"


7 Χλμ
",2,hotel-sophia@hotmail.com,22450-81078,2245081070,Μενέτες,857 00,http://www.sophiahotel.gr/,6974287195,6974287195,ΑΜΜΟΟΠΗ,2245081070
ΣΟΦΙΑ ΒΙΛΑΤΖ,,3,sofiavillage@gmail.com,6945395865,,Μύκονος,84600,,,,,
ΣΟΦΙΑ ΛΑΤΙΝΑ,"


0.5 Χλμ
",2,info@sofialatina.com,22850-22114,22850-22677,Νάξος,843 00,www.sofialatina.com,22850-23885,22850-23885,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,22850-22677
ΣΟΦΙΝΤ ΟΥΕΛΝΕΣ ΣΟΥΙΤΣ,,4,gs.sfakianakis@gmail.com,6942469795,,Μενέτες,85700,,,,,
ΣΠΑΝΕΛΗΣ,"


1 Χλμ
",1,info@spanelishotel.com,+306977468123,22890-25621,Μύκονος,846 00,www.spanelishotel.com,22890-22447,21-09813336,ΜΥΚΟΝΟΣ (ΤΑΓΚΟΥ),21-09813336
ΣΠΕΡΒΕΡΙ,,3,info@sperveri.gr,22410-70550,,Ρόδος,851 00,www.sperveri.gr,6985170550,2241022780,ΔΗΛΜΠΕΡΑΚΗ 65-67,
ΣΠΗΛΙΕΣ ΑΡΗ,"


10 Χλμ
",4,oia@ariscaves.gr,22860-71511,22860-71511,Οία,847 00,www.ariscaves.gr,,,ΟΙΑ ΘΗΡΑΣ,
ΣΠΙΤΙ ΤΗΣ ΚΟΥΚ,,5,kostas.karagiannis@sunwing.net,2242440394,,Μαρμάρι,85300,https://www.okuhotels.com/,2242440394,2241088105,,2241063487
ΣΠΙΤΙΑ ΑΙΓΑΙΟΥ,"


1 Χλμ
",4,info@aegeanhouses-kos.com,22420-48410,22420-48146,Κως,853 00,www.aegeanhouses-kos.com,,6944-426862,ΛΑΜΠΗ ΚΩ,2242-048146
ΣΠΙΤΙΑ ΤΕΧΝΗΣ-ΚΑΣΤΡΟ ΟΙΑΣ,"


0.2 Χλμ
",4,go@artmaisons.gr,22860-71831,22860-72312,Οία,847 00,www.artmaisons.gr,,,ΟΙΑ ΘΗΡΑΣ,
ΣΠΟΤ,,1,markostimplalexis@gmail.com,22410-34737,,Ρόδος,851 00,,,2241-034737,ΠΕΡΙΚΛΕΟΥΣ 21,
ΣΠΥΡΟΣ,"


0.8 Χλμ
",2,info@hotelspiros.com,22850-24854,22850-25003,Άγιος Γεώργιος,843 00,www.hotelspiros.com,22850-23702,22850-26141,,22850-25003
ΣΤΑΘΗΣ,"


0.1 Χλμ
",1,stathishotel@yahoo.gr,22410-24357,,Ρόδος,851 00,,,2241-024357,ΟΜΗΡΟΥ 60,
ΣΤΑΜΟΣ,,2,stamoshotelfaliraki@gmail.com,22410-87058,,Φαληράκι,851 05,,,,,
ΣΤΑΡ,"


1.5 Χλμ
",1,hotelstar.rodos@gmail.com,22410-75381,22410-78432,Ρόδος,851 00,,22410-22853,,ΔΕΝΔΡΙΝΟΥ 129,
ΣΤΑΥΡΟΔΡΟΜΙΑ,,3,info@crossroadsinn.gr,2283025443,,Τριπόταμος,842 00,www.crossroadsinn.gr,,2283025443,ΤΡΙΠΟΤΑΜΟΣ ΤΗΝΟΥ,
ΣΤΑΥΡΟΣ,"


5 Χλμ
",2,sarah@sifnostravel.com,22840-33383,22840-31709,Καμάρες,840 03,www.sifnostravel.com,22840-31641,,ΚΑΜΑΡΕΣ ΣΙΦΝΟΥ,
ΣΤΑΦΥΛΙΑ,"


15 Χλμ
",3,info@stafiliabeach.gr,22440-47113,22440-47310,Λάρδος,851 09,http://stafiliabeach.gr/,,2241-031890,ΣΤΑΦΥΛΙΑ ΛΑΡΔΟΥ ΡΟΔΟΥ,2241-077569
ΣΤΕΪ,"


0.5 Χλμ
",0,stayrhodes@gmail.com,22410-27608,22410-37069,Ρόδος,851 00,www.stayrhodes.com,22410-28107,2241-028107,ΛΟΧΑΓΟΥ ΦΑΝΟΥΡΑΚΗ 19-21,2241-037069
ΣΤΕΛΙΑ ΜΑΡΕ,,4,paros@steliamare.com,22840-28888,,Νάουσα,844 01,www.steliamare.com,,,ΑΓ.ΑΝΑΡΓΥΡΟΙ ΠΑΡΟΥ,
ΣΤΕΛΛΑ,,2,stellahotelparos@gmail.com,22840-21502,22840-25334,Πάρος,844 00,www.stellahotel.gr,,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΣΤΕΛΛΑ,"


0.05 Χλμ
",1,parosholidays@gmail.com,22840-51317,22840-53617,Νάουσα,844 01,www.hotelstella.gr,,2284-051317,ΝΑΟΥΣΑ ΠΑΡΟΥ,
ΣΤΕΛΛΑ,,3,info@stellahotel.com.gr,22440-29396,22440-29396,Πεύκοι,851 07,www.stellahotel.com.gr,,,ΠΕΥΚΟΙ ΛΙΝΔΟΥ ΡΟΔΟΥ,
ΣΤΕΛΛΑ ΜΑΡΙΣ,,3,giakalishotel@hotmail.com,2242042322,2242042307,Μαρμάρι,853 00,www.stellamaris.gr,,,ΜΑΡΜΑΡΙ ΠΥΛΙΟΥ ΚΩ,
ΣΤΕΛΛΑ ΜΑΡΙΣ 2,"


4 Χλμ
",1,u207@anko3.gr,2242042322,2242042307,Μαρμάρι,853 00,www.stellamaris.gr,,22420-41003,ΜΑΡΜΑΡΙ ΠΥΛΙΟΥ ΚΩΣ,
ΣΤΕΛΛΑ ΝΑΞΟΣ ΑΪΛΑΝΤ,,3,stellanaxosisland@gmail.com,2285042526,,Νάξος,84300,,,,,
ΣΤΕΡΓΙΑ,"


0.5 Χλμ
",1,sale@stergiahotel.com,22840-21745,22840-24544,Πάρος,844 00,www.paroshotels.com,,21-09919062,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΣΤΕΦΑΝΙ,,3,info@stefanisuites.com,22860-21824,2286021823,Θήρα,847 00,http://hotel.stefanisuites.com,,,ΦΗΡΟΣΤΕΦΑΝΙ,
ΣΤΕΦΑΝΟΣ,,2,,22460-49496,,Μεγίστη,851 11,,,,ΑΓ.ΜΕΡΚΟΥΡΙΟΥ 11,
