Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΙΚΑΡΟΣ,"


8 Χλμ
",2,info@ikaroshotel.gr,26950-52290,2695-043556,26950-52290,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.ikaroshotel.gr,26950-52292,
ΙΚΟΣ ΔΑΣΙΑ ΘΑΛΑΣΣΑ,"


12 Χλμ
",5,info@ikosresorts.com,2373095100,2661-097100,2373095109,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,http://ikosresorts.com/el/%CE%BE%CE%B5%CE%BD%CE%BF%CE%B4%CE%BF%CF%87%CE%B5%CE%AF%CE%B1/ikos-dassia,26610-93351,2661-093458
ΙΚΟΣ ΔΑΣΙΑ ΟΥΡΑΝΟΣ,"


12 Χλμ
",5,thmilonas@saniresort.gr,2310317327,2661-097100,26610-93458,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,http://ikosresorts.com/,,2661-093458
ΙΛΑΡΙΑ,"


7 Χλμ
",4,ilaria@ilaria.gr,26950-52671,21-09595850,26950-52673,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.ilaria.gr,26950-52672,
ΙΟΝΙΑΝ ΜΠΛΟΥ,"


12 Χλμ
",5,info@ionianblue.gr,26450-29029,,26450-29150,Νικιάνα,ΝΙΚΙΑΝΑ ΛΕΥΚΑΔΑΣ,311 00,www.ionianblue.gr,,
ΙΟΝΙΑΝ ΠΑΡΚ,"


7 Χλμ
",4,gliak33@yahoo.gr,26610-91530,2661-091310,26610-91531,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.parkhotelcorfu.com,26610-91347,2661-091531
ΙΟΝΙΑΝ ΠΛΑΖΑ -ΠΛΑΤΕΙΑ ΙΟΝΙΟΥ,"


0.8 Χλμ
",3,info@ionianplaza.com,26710-25581,,26710-25585,Αργοστόλι,ΑΡΓΟΣΤΟΛΙ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.ionianplaza.com,26710-25584,
ΙΟΝΙΑΝ ΧΙΛΛ,,4,reception@ionianhillhotel.com,26950-26203,,,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,https://ionianhillhotel.com/,26950-26400,
ΙΟΝΙΚΕΣ ΚΑΜΑΡΕΣ,"


9 Χλμ
",3,bakcorfu@hotmail.com,26610-91650,,26610-90730,Γουβιά,ΤΖΑΒΡΟΣ ΚΕΡΚΥΡΑΣ,491 00,,,
ΙΟΝΙΚΗ ΘΑΛΑΣΣΙΑ ΘΕΑ,,3,ionianseaview@hotmail.com,26620-61351,,,Κάβος,ΚΑΒΟΣ ΚΕΡΚΥΡΑΣ,490 80,,,
ΙΟΝΙΟΝ,"


7 Χλμ
",2,evlacho@otenet.gr,2645071721,2645-022582,,Νικιάνα,ΝΙΚΙΑΝΑ ΛΕΥΚΑΔΑΣ,311 00,www.hotelionion.com,,
ΙΟΝΙΟΝ ΜΠΛΕ,"


5 Χλμ
",3,ionionbl@otenet.gr,26950-25057,6972-662924,26950-25056,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,http://ionionblue.gr/,,
ΙΟΝΙΟΣ ΘΑΛΑΣΣΑ,,1,,26610-93241,,,Ύψος,ΥΨΟΣ ΚΕΡΚΥΡΑΣ,490 83,,26610-93386,
ΙΟΝΙΣ,"


2 Χλμ
",4,info@ionisarthotel.com,26950-51141,2695-051141,26950-51601,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.ionisarthotel.com,51600,2695-051601
ΙΟΝΙΣ,"


2 Χλμ
",2,ionishot@otenet.gr,26710-69322,2671-069374,26710-69322,Περατάτα,ΠΕΡΑΤΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.hotelionis.gr,,
ΙΟΝΙΣ,"


12 Χλμ
",2,info@ionis-hotel.gr,26450-97414,26450-20201,26450-97433,Άγιος Νικήτας,,310 80,www.Ιonis-hotel.gr,,
ΙΠΠΟΤΩΝ,"


1 Χλμ
",4,info@cavalieri-hotel.com,26610-39041,26610-39041,26610-39283,Κέρκυρα,ΚΑΠΟΔΙΣΤΡΙΟΥ 4,491 00,www.cavalieri-hotel.com,26610-39336,26610-39283
ΙΡΙΔΑ,"


3 Χλμ
",2,info@hotelirida.gr,26450-23026,,26450-23026,Ράχη,ΡΑΧΗ ΑΠΟΛΠΑΙΝΑΣ ΛΕΥΚΑΔΟΣ,311 00,www.hotelirida.gr,,
ΙΡΙΛΕΝΑ,"


1 Χλμ
",2,irilena@hotmail.com,6944615831,2671-026702,26710-23118,Αργοστόλι,ΛΑΣΣΗ ΚΕΦΑΛΛΗΝΙΑΣ,28100,www.irilenahotel.com,,
ΙΡΙΣ,"


1.6 Χλμ
",2,irishotelnydri@gmail.com,26450-92546,6944-912701,26450-92546,Νυδρί,,310 84,,,
ΚΑΒΟ ΒΕΖΑΛ,,4,info@cavovezal.com,2695055135,,,Ζάκυνθος,,29092,www.cavovezal.com,,
ΚΑΒΟ ΝΤΟΡΟ,"


2 Χλμ
",4,info@cavodorozante.com,26950-45948,2695-042242,26950-44068,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.cavodorozante.com,,
ΚΑΒΟ ΟΡΙΕΝΤ 2 ΜΠΙΤΣ,,2,reception@cavoorient.com,2695028866,,2695028266,Ζάκυνθος,,29100,www.cavoorient.com,,
ΚΑΒΟ ΟΡΙΕΝΤ 3 ΜΠΙΤΣ,,2,reception@cavoorient.com,2695061395,,,Ζάκυνθος,,29100,,,
ΚΑΒΟ ΟΡΙΕΝΤ 4 ΜΠΙΤΣ,,2,reception@cavoorient.com,2695061395,,,Ζάκυνθος,,29100,,,
ΚΑΒΟ ΟΡΙΕΝΤ ΜΠΙΤΣ,,4,reception@cavoorient.com,2695028866,,,Κυψέλη,,29100,,,
ΚΑΒΟΣ,,2,,26620-61514,,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,26620-61107,
ΚΑΘΑΡΟΣ ΟΡΙΖΟΝΤΑΣ,"


5 Χλμ
",2,clear-h@otenet.gr,26950-62990,,26950-62990,Άνω Γερακάρι,,291 00,,,
ΚΑΪΡΑΜΠΑ ΜΥΘΟΣ ΠΑΛΛΑΣ,,5,hr-rizos@otenet.gr,2661052233,,,Κέρκυρα,ΚΟΥΣΠΑΔΕΣ,49080,,,
ΚΑΚΤΟΥΣ,"


6 Χλμ
",2,dennisgr1996@hotmail.com,2695053328,6947363411,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.cactus.gr,,
ΚΑΛΑΜΙ,"


3 Χλμ
",2,info@bluebay-travel.com,26610-37595,,,Καλάμι,,491 00,,6977-246098,
ΚΑΛΗ ΠΗΓΗ,"


3 Χλμ
",2,info@dannyshotel.com,26950-84056,2695-061750,26950-84132,Αλικανάς,,290 90,www.dannyshotel.com,,
ΚΑΛΗΔΟΝΙΟ,"


5 Χλμ
",2,ionionbl@otenet.gr,26950-25056,261-0432680,26950-25056,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,,,
ΚΑΛΗΜΕΡΑ ΚΟΥΚΛΑ,"


10 Χλμ
",2,info@kalimera-koukla.gr,26950-51632,2695-051632,26950-51727,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.kalimera-koukla.gr,,
ΚΑΛΙΑΣ,"


0.18 Χλμ
",3,kaliashotel@gmail.com,26450-31033,,,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,www.kalias.net,,
ΚΑΛΙΦΟΡΝΙΑ ΑΚΤΗ,"


0.1 Χλμ
",3,info@californiabeach.gr,26950-52341/2,,26950-52340,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΚΑΛΛΙΝΙΚΑ,,2,info@callinica.gr,26950-45114,26950-48118,,Πλάνος,,291 00,www.callinica.gr,26950-28675,
ΚΑΛΟΚΑΙΡΙ,,2,,26740-41444,,,Φισκάρδο,,280 84,,,
ΚΑΛΟΚΑΙΡΙΝΗ ΕΠΟΧΗ,,2,info@summertimeapartments.com,26610-36916,2661-036916,26610-36916,Περουλάδες,ΜΕΛΙΤΣΑ,490 81,www.summertimeapartments.com,26630-99211,2661-036916
ΚΑΛΟΚΑΙΡΙΝΟ,"


1 Χλμ
",3,summery@otenet.gr,26710-91771,,26710-91062,Ληξούρι,ΓΡ. ΛΑΜΠΡΑΚΗ 35,282 00,www.summery.gr,26710-91871,
ΚΑΛΥΨΩ,"


6 Χλμ
",2,hkalypso@otenet.gr,2645-097332,2645-023690,2645-097333,Άγιος Νικήτας,ΑΓ.ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.kalypsohotel.com,2645-097333,2645-097333
ΚΑΛΥΨΩ,,2,toniakasimi@gmail.com,26630-72114,,26630-71578,Οθωνοί,ΟΘΩΝΟΙ ΚΕΡΚΥΡΑΣ,490 81,www.othonoi.gr,26630-72162,
ΚΑΜΑΡΕΣ ΜΠΕΝΙΤΣΩΝ,"


0.2 Χλμ
",2,info@benitses-arches.gr,26610-72113,2661-046016,26610-72116,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.hotelbenitsesarches.com,,2661-072116
ΚΑΜΙΝΑΚΙΑ,"


9 Χλμ
",2,kaminakia@yahoo.gr,26740-41218,21-09523923,26740-41218,Φισκάρδο,ΠΑΝΟΡΜΟΥ 115,280 84,,26740-41140,
ΚΑΝΑΛ ΝΤ’ ΑΜΟΥΡ,"


5 Χλμ
",2,spirosmanessis@gmail.com,26630-95197,2661-025854,26630-95197,Σιδάρι,,490 83,,,
ΚΑΝΑΝΤΙΑ ΟΤΕΛ,"


3 Χλμ
",3,info@canadianhotel.gr,26950-51515,,26950-51639,Λαγανάς,,290 92,www.canadianhotel.gr,2695051639,
ΚΑΝΕΔΙΑ ΠΛΑΖΑ,,2,,000-0000000,2695-045788,,Καταστάρι,,290 90,,,
ΚΑΝΤΑΡΟΣ,"


1 Χλμ
",2,,26610-93646,,,Ύψος,ΥΨΟΣ Κ.ΚΟΡΑΚ.ΚΕΡΚΥΡΑΣ,491 00,,26610-93886,
ΚΑΝΤΡΥ ΚΛΑΜΠ,"


8 Χλμ
",4,pelecas@country-club.gr,2661052918,2661052918,2661052919,Πέλεκας,ΠΕΛΕΚΑΣ ΚΕΡΚΥΡΑΣ,491 00,www.country-club.gr,2661052239,
ΚΑΠΕΤΑΝ ΓΙΑΝΝΗΣ,"


0.5 Χλμ
",2,,26740-33311,6945-807913,26740-32849,Ιθάκη,ΒΑΘΥ ΙΘΑΚΗΣ,283 00,,26740-33173,2674-032849
ΚΑΠΕΤΑΝΙΟΣ – ΚΑΠΤΑΙΝ,"


3.5 Χλμ
",3,info@captainshotel.gr,26950-44142,2695-042779,26950-45505,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.captainshotel.gr,,2695-045505
ΚΑΠΤΑΙΝ ΝΙΚ,"


25 Χλμ
",2,info@captain-nick.gr,26450-95731,21-03425298,,Μικρός Γιαλός,,311 00,www.captain-nick.gr,6974044862,
ΚΑΠΤΑΙΝ ΣΤΑΥΡΟΣ,"


0.1 Χλμ
",4,reservations@nydri.gr,26450-93333,6948-808308,26450-93335,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.captainstavros-hotel.gr,,
ΚΑΡΑΒΕΛ,"


6 Χλμ
",5,caravelz@otenet.gr,26950-45261,21-09915929,26950-45548,Πλάνος,ΠΛΑΝΟΣ ΑΡΚΑΔΙΩΝ ΖΑΚΥΝΘΟΥ,291 00,https://www.caravelresortspa.gr/,,21-09912808
ΚΑΡΑΒΕΛ ΣΟΥΙΤΕΣ,,5,caraccou@otenet.gr,6973993199,,,Πλάνος,,29100,,,
ΚΑΡΔΑΚΗΣ,"


0.5 Χλμ
",2,achbht@otenet.gr,26630-63102,,26630-63461,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,,26630-63124,
ΚΑΡΕΤΤΑ ΑΪΛΑΝΤ,,3,myhotel@otenet.gr,2695049300,,2695049301,Ζάκυνθος,,29100,,,
ΚΑΡΕΤΤΑ ΜΠΕΥ,"


4 Χλμ
",2,myhotel@otenet.gr,26950-49300,6944-268023,26950-49301,Καλαμάκι,,291 00,www.carettabeach.com,,2695-049301
ΚΑΡΕΤΤΑ ΜΠΗΤΣ,"


4 Χλμ
",4,management@caretta.gr,26950-49300,6944-268023,26950-49301,Καλαμάκι,,291 00,www.carettabeach.com,,
ΚΑΡΕΤΤΑ ΠΑΡΑΝΤΑΪΣ,,4,myhotel@otenet.gr,6944374278,,,Ζάκυνθος,,29100,,,
ΚΑΡΕΤΤΑ ΠΑΡΑΝΤΑΪΣ 4,,3,myhotel@otenet.gr,6944374278,,,Ζάκυνθος,,29100,,,
ΚΑΡΙΝΑ,,2,kesidi.olga@gmail.com,26610-72383,,26610-72383,Μπενίτσες,ΤΣΑΚΙ ΜΠΕΝΙΤΣΩΝ ΚΕΡΚΥΡΑΣ,490 84,,,
ΚΑΡΡΑΣ,"


5 Χλμ
",4,info@zantekarras.gr,29650-51956,,29650-51957,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.zantekarras.gr,,
ΚΑΡΡΑΣ ΓΚΡΑΝΤΕ ΡΙΖΟΡΤ,"


5 Χλμ
",4,info@karrasgranderesort.com,26950-48015,6978-182783,26950-45588,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.karrasgranderesort.com,,2695-042861
ΚΑΣΣΙΟΣ ΖΕΥΣ,,2,,26610-22014,,26610-43066,Κασσιόπη,,491 00,,,
ΚΑΣΤΕΛΛΙ,"


11 Χλμ
",4,info@castellihotel.com,26950-52367,2695-052367,26950-52368,Λαγανάς,ΑΓ.ΣΩΣΤΗΣ ΛΑΓΑΝΑ ΖΑΚΥΝΘΟΥ,290 92,www.castellihotel.com,210-9348053,
ΚΑΣΤΕΛΛΟ,"


1 Χλμ
",2,,26710-23250,,,Αργοστόλι,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,281 00,,26710-23251,
ΚΑΣΤΕΛΛΟ,"


4 Χλμ
",3,hotel@castellobeach.com,26950-23520,26950-23957,26950-27105,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.castellobeach.com,26950-23544,
ΚΑΣΤΡΟ ΤΗΣ ΘΑΛΑΣΣΑΣ,,3,svvitsos@otenet.gr,26950-35053,,26950-23769,Βασιλικός,ΞΗΡΟΚΑΣΤΕΛΟ,291 00,www.seacastle-zakynthos.com,,
ΚΑΤΕΡΙΝΑ,"


0.15 Χλμ
",2,hotel@katerinapalace.com,26950-26998,2695-022297,26950-27257,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.katerinapalace.com,,2695-022127
ΚΑΤΕΡΙΝΑ ΠΑΛΛΑΣ,"


3.5 Χλμ
",4,hotel@katerinapalace.com,26950-26998,2695-022297,26950-27257,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.katerinapalace.com,,2695-022127
ΚΕΡΚΥΡΑΪΚΗ ΘΑΛΑΣΣΑ,"


4 Χλμ
",3,info@corfumare.gr,26610-32550,,26610-25806,Κέρκυρα,ΝΙΚΟΛΑΟΥ ΖΕΡΒΟΥ 5,491 00,www.corfumare.gr,26610 25804,
ΚΕΡΚΥΡΑΙΚΟ ΘΕΡΕΤΡΟ,"


3.5 Χλμ
",4,,26630-98490,,,Απραός,ΑΠΡΑΟΣ ΘΙΝΑΛΙΟΥ ΚΕΡΚΥΡΑΣ,491 00,www.kerkyras.com/corfuresort,98421,
ΚΕΡΚΥΡΑΪΚΟ ΜΥΣΤΙΚΟ,"


8 Χλμ
",3,info@corfusecret.gr,26610-97921,210-3245475,26610-97931,Πυργί,ΑΓ.ΜΑΡΚΟΣ,490 83,www.corfusecret.gr,210-3245475,210-3245234
ΚΕΦΑΛΛΟΝΙΑ ΓΚΡΑΝΤ ΟΛΓΑ,"


0.5 Χλμ
",4,sales@kefaloniagrand.gr,26710-24981,,26710-24985,Αργοστόλι,ΠΑΡΑΛΙΑ ΜΕΤΑΞΑ 82,281 00,www.kefaloniagrand.gr,,
ΚΕΦΑΛΛΟΝΙΑ ΠΑΛΛΑΣ,"


6 Χλμ
",4,info@cphotel.gr,2671093112,,26710-92638,Ληξούρι,ΞΙ ΛΗΞΟΥΡΙΟΥ,282 00,https://www.cephaloniapalace.com.gr/en/,,
ΚΕΦΑΛΟΣ,,2,,26740-72139,,,Πόρος,ΠΟΡΟΣ ΚΕΦΑΛΛΟΝΙΑΣ,280 82,,26740-72141,
ΚΗΠΟΣ,"


7 Χλμ
",3,info@gardenpaiacehotel.gr,26950-24016,6946-236137,26950-24017,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.gardenpalacehotel.gr,,
ΚΙΟΝΙ,,2,kioniapartments@gmail.com,26740-31144,6988722641,,Κιόνι,ΚΙΟΝΙ ΙΘΑΚΗΣ,283 01,wwwhttps://www.tripadvisor.com.gr/Hotel_Review-g189415-d1466160-Reviews-Hotel_Irida-Chania_Town_Chania_Prefecture_Crete.html.eu,26740-31202,
ΚΛΑΜΠ ΒΑΣ,,2,info@clubvass.net,2645031588,,2645031783,Βασιλική,,390 82,https://clubvass.com/,,
ΚΛΑΜΠ ΜΑΡΙΑ,,2,bikesclubsidari@yahoo.gr,26630-72507,,26630-95863,Περουλάδες,ΜΕΛΙΤΣΑ,490 81,,,
ΚΛΕΙΩ,"


5 Χλμ
",2,cliohotelzante@gmail.com,26950-85070,6944591569,,Καταστάρι,ΑΛΥΚΕΣ-ΚΑΤΑΣΤΑΡΙ ΖΑΚΥΝΘΟΥ,290 90,www.cliohotel.com,,
ΚΛΕΛΙΑ,"


5 Χλμ
",3,zanteklelia@gmail.com,26950-27056,21-06818342,26950-41288,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,,,
ΚΟΖΑΝΟΣ ΙΙ,,2,mouzakisonline@gmail.com,6932632284,,,Άνω Γερακάρι,,29090,,,
ΚΟΚΚΙΝΟΣ ΠΥΡΓΟΣ,"


2 Χλμ
",3,a.kavadas@redtowerhotel.com,2645092951,,26450-92852,Νικιάνα,,311 00,www.redtowerhotel.com,,
ΚΟΛΠΟΣ ΒΛΥΧΟΥ,"


22 Χλμ
",1,info@vlihobay.com,26450-95619,2645-095619,26450-95619,Γένι,ΓΕΝΙ ΒΛΥΧΟΥ ΛΕΥΚΑΔΑΣ,311 00,www.vlihobay.com,,
ΚΟΛΠΟΣ ΡΟΥΝΤΑ,"


8 Χλμ
",3,info@roudabay.gr,26450-95634,2645-092197,26450-29285,Πόρος,ΠΟΡΟΣ ΛΕΥΚΑΔΑΣ,311 00,www.roudabay.gr,,
ΚΟΛΠΟΣ ΤΟΥ ΘΩΜΑ-ΤΟΜΑΣ ΜΠΕΫ,"


0.2 Χλμ
",2,thomasbayhotel@webcorfu.com,26630-51767,6936607259,26630-51913,Άγιος Στέφανος,ΑΓ.ΣΤΕΦ.ΑΥΛΙΩΤΩΝ ΚΕΡΚΥΡΑΣ,490 81,,26630-51353,
ΚΟΛΠΟΣ ΦΙΣΚΑΡΔΟΥ,"


8 Χλμ
",3,info@fiscardobay.com,26740-41295,6977-200169,26740-41293,Φισκάρδο,,280 84,www.fiscardobay.com,210-9841461,21-09845912
ΚΟΝΑΚΙ,"


5 Χλμ
",2,welcome@hotelkonaki.com,26450-71126,2645-071126,26450-71125,Λυγιά,ΛΥΓΙΑ ΛΕΥΚΑΔΟΣ,311 00,www.hotelkonaki.com,26450-71127,2645-071125
ΚΟΝΤΕΣΣΑ,"


3 Χλμ
",3,info@contessahotel.gr,6975764637,6975764637,26950-45586,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.contessahotel.gr,2695045152,
ΚΟΝΤΕΣΣΙΝΑ,"


1 Χλμ
",4,hotelcontessina@gmail.com,26950-22704,2695-045117,26950-43774,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,,,2695-023741
ΚΟΝΤΕΣΣΙΝΑ ΣΟΥΙΤΕΣ,,5,hotelcontessina@gmail.com,2695022704,,2695022704,Πλάνος,,29100,,,
ΚΟΝΤΟΚΑΛΙ ΜΠΕΙ,"


5 Χλμ
",5,manager@kontokalibay.gr,26610-99000,2661-090149,26610-91901,Κοντοκάλι,ΚΟΝΤΟΚΑΛΙ ΚΕΡΚΥΡΑΣ,491 00,www.kontokalibay.com,26610-99001,2661-091901
ΚΟΡΑΛ,"


5 Χλμ
",3,coralhot@otenet.gr,26630-63490,2663-063490,26630-63491,Ρόδα,ΡΟΔΑ ΣΦΑΚΕΡΩΝ ΚΕΡΚΥΡΑΣ,490 81,www.hotelcoral.gr,26630-63056,2663-063491
ΚΟΡΙΝΑ ΓΚΑΛΕΡΙ,"


0.2 Χλμ
",4,info@korinahotel.com,26740-33393,,26740-33437,Ιθάκη,ΒΑΘΥ ΙΘΑΚΗΣ,283 00,www.korinaithacahotel.com,,
ΚΟΡΦΟΥ ΑΝΔΡΟΜΕΔΑ,,2,,26630-99457,,,Περουλάδες,ΠΕΡΟΥΛΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,,,
ΚΟΡΦΟΥ ΔΙΒΑΝΗ ΠΑΛΛΑΣ,"


3.5 Χλμ
",4,info@divanicorfu.gr,26610-38996/8,21-09280100,26610-35929,Κέρκυρα,ΝΑΥΣΙΚΑΣ 20,491 00,www.divanis.gr,,21-09214993
ΚΟΡΦΟΥ ΘΑΛΑΣΣΙΟΙ ΚΗΠΟΙ,"


8 Χλμ
",3,corfuseagardens@yahoo.gr,26620-61708/11,,26620-61101,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,061719,
ΚΟΡΦΟΥ ΙΜΠΕΡΙΑΛ,"


4 Χλμ
",5,reservations.ci@grecotel.com,+3026610-88400,2661-088400,26610-91881,Κάτω Κορακιάνα,ΚΟΜΜΕΝΟ ΚΕΡΚΥΡΑΣ,491 00,www.corfuimperial.com,,2661-091881
ΚΟΡΦΟΥ ΜΑΡΙΣ,,4,info@corfumaris.gr,26610-72129,2661-072669,26610-72035,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.corfumaris.gr,,2661-072035
ΚΟΡΦΟΥ ΝΟΣΤΟΣ ΜΑΡΕ,,2,gelina@otenet.gr,26630-64000,21-06845102,26630-63893,Αχαράβη,,491 00,www.gelina.gr,26630-64007,21-06846781
ΚΟΡΦΟΥ ΠΑΛΛΑΣ,"


1 Χλμ
",5,info@corfupalace.com,2661039485,,2661031749,Κέρκυρα,ΛΕΩΦ.ΔΗΜΟΚΡΑΤΙΑΣ 2,491 00,www.corfupalace.com,2661038488,
ΚΟΡΦΟΥ ΠΑΛΜΑ,"


3 Χλμ
",4,contact@corfupalmaboutiquehotel.com,26610-93941,,26610-93943,Κάτω Κορακιάνα,ΔΑΣΙΑ Κ.ΚΟΡΑΚΙΑΝΑΣ ΚΕΡΚ.,490 83,www.corfupalmabutiquehotel.com,26610-93942,
ΚΟΡΦΟΥ ΠΕΛΑΓΟΣ,,4,nvoulgary@gmail.com,26610-77060,,26610-77060,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,,,
ΚΟΡΦΟΥ ΡΕΖΙΝΤΕΝΣ,"


0.3 Χλμ
",4,cfuvacationclub@gmail.com,26630-91713,2167000420,26630-91714,Νησάκι,ΝΗΣΑΚΙ ΚΑΣΣΩΠΑΙΩΝ ΚΕΡΚΥΡΑΣ,491 00,www.cofuresidence.gr,,
ΚΟΡΦΟΥ ΣΕΝΣΙΣ,"


3 Χλμ
",3,corfusenses@skresorts.com,26610-72305/8,,26610-72309,Άγιος Ιωάννης Περιστερών,ΑΓ.ΙΩΑΝΝΗΣ ΠΕΡΙΣΤΕΡΩΝ ΚΕΡΚΥΡΑΣ,490 84,,,
ΚΟΡΦΟΥ ΧΟΛΙΝΤΑΙΥ ΠΑΛΛΑΣ,"


4 Χλμ
",5,sales@corfuholidaypalace.gr,26610-36540,,26610-36551,Κέρκυρα,ΚΑΝΟΝΙ ΚΕΡΚΥΡΑΣ,491 00,www.corfuholidaypalace.gr,26610-36541,
ΚΟΣΜΟΠΟΛΙΤ,,2,,26950-28752,,26950-28752,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,,26950-23190,
ΚΟΣΜΟΣ,,2,info@athens-bar.com,2663051764,6947279069,,Άγιος Στέφανος,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ ΚΕΡΚΥΡΑΣ,490 81,,,
ΚΟΣΜΟΣ Ι,,3,stelios@cosmos-vassiliki.com,26450-31377,,2645032020,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,www.cosmos-vassiliki.com,,
ΚΟΥΚΟΥΝΑΡΙΕΣ,"


17 Χλμ
",4,koukounariahotel@gmail.com,26950-83591,,26950-83607,Καταστάρι,ΑΛΥΚΕΣ ΖΑΚΥΝΘΟΥ,291 00,www.hotel-koukounaria.com,26950-83608,
ΚΟΥΛΟΥΡΗΣ ΜΠΗΤΣ,"


5 Χλμ
",2,koulourisbeach@hotmail.com,2662061351,,26620-61679,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,www.koulourisbeach.com,2662061679,
ΚΟΥΡΚΟΥΜΕΛΑΤΑ,"


0.5 Χλμ
",2,info@hotelkourkoumelata.gr,26710-41645,,26710-41645,Μεταξάτα,ΚΟΥΡΚΟΥΜΕΛΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.hotelkourkoumelata.gr,,
ΚΡΙΣΤΑΛ ΜΠΛΟΥ,,2,crystalblueaprts@gmail.com,2663091012,2336091012,2663091224,Νησάκι,,49083,www.crystalblueapartments.gr,2663092448,2663091224
ΚΡΙΣΤΙ,"


40 Χλμ
",2,kristigr21@yahoo.gr,26740-72569,21-03601294,26740-72569,Πόρος,,280 82,,,21-03601294
ΚΡΟΝΑΛΑ,"


5 Χλμ
",3,cronulla@otenet.gr,26950-45317,2695-045317,26950-29654,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,http://cronullahotel.com,26950-26600,2695-029654
ΚΡΥΣΤΑΛΛΙΝΗ ΑΚΤΗ,"


6 Χλμ
",3,info@crystalbeach.gr,26950-42774,2695-029151,26950-42917,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.crystalbeach.gr,26950-42788,
