Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΟΥΡΑΝΙΟ ΤΟΞΟ,"


5 Χλμ
",2,,rainbow-shetakis@hotmail.com,28210-32002,28210-32024,Δαράτσος,731 00,,28210-61602,2821-094494,2821-094594
ΠΑΓΚΑΛΟΣ,"


0.8 Χλμ
",2,,g_pangalos@yahoo.gr,28410-22936,28410-26335,Άγιος Νικόλαος,721 00,ΤΣΕΛΕΠΗ 15,28410-82364,2841-022936,2841-026335
ΠΑΛΑΖΟ ΔΟΥΚΑ,,4,www.palazzoduca.gr,info@palazzoduca.gr,28210-70460,,Χανιά,731 31,ΔΟΥΚΑ 27-29,,,
ΠΑΛΑΙΜΙΛΟΣ,,1,,petmanos@otenet.gr,2810-254114,2810-253324,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΗΘΙΟΥ,,,
ΠΑΛΑΙΟΚΑΣΤΡΟ ΑΚΤΗ,"


0.1 Χλμ
",4,www.castro-hotel.gr,info@castro-hotel.gr,28210-62100,28210-62061,Μάλεμε,731 00,,,,
ΠΑΛΑΤΙ ΑΡΙΩΝ,"


1.5 Χλμ
",4,www.arionpalace.com,arionpalace@eurohotel-crete.gr,28420-25930,28420-25931,Ιεράπετρα,722 00,ΒΙΓΛΕΣ ΙΕΡΑΠΕΤΡΑΣ ΛΑΣΗΘ.,28420-22240,2842-025930,2842-025931
ΠΑΛΑΤΙ ΒΑΝΤΑΡΙΣ,"


15 Χλμ
",4,www.vantarishotels.gr,sofia@vantarishotels.gr,28250-61783,28250-61698,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,28250-61784,2825-061783,2825-061698
ΠΑΛΑΤΙ ΜΥΘΟΥ,"


3 Χλμ
",5,www.mythos-palace.gr,info@mythos-palace.gr,28250-61739,28250-61678,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,28250-61791,2825-083024,2825-061594
ΠΑΛΑΤΙΑ ΒΙΛΑΤΖ,"


0.3 Χλμ
",4,www.palatia.gr,logpapevi@gmail.com,28970-22017,28970-23917,Λιμένας Χερσονήσου,700 14,Ν. ΚΑΖΑΝΤΖΑΚΗ,,,
ΠΑΛΑΤΣΟ ΒΕΧΙΟ,"


0.3 Χλμ
",3,www.palazzovecchio.gr,palazzovecchio@europe.com,28310-35351,28310-25479,Ρέθυμνο,741 00,ΗΡ.ΠΟΛΥΤΕΧΝΕΙΟΥ  & ΜΕΛΙΣΣΙΝΟΥ,,2831-057941,2831-057945
ΠΑΛΑΤΣΟ ΓΚΡΕΚΟ,"


0.2 Χλμ
",4,www.palazzogreco.com,info@palazzogreco.com,28320-91187,28320-91491,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,28310-23356,2831-023356,2831-053929
ΠΑΛΑΤΣΟ ΠΟΡΤΟ ΠΛΑΤΑΝΙΑΣ,"


0.1 Χλμ
",5,www.portoplatanias.gr,accounts@portoplatanias.gr,28210-38800,28210-60641,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,28210-38813,2821-038800,2821-060641
ΠΑΛΑΤΣΟ ΡΙΜΟΝΤΙ,"


0.5 Χλμ
",4,www.palazzorimondi.com,info@hotelsrimondi.com,28310-51289,28310-51013,Ρέθυμνο,741 00,ΞΑΝΘΟΥΔΙΔΟΥ 21,28310-51013,2831-051289,2831-051013
ΠΑΛΛΑΔΑ,"


0.1 Χλμ
",1,www.agia-galini.com/en/pallada-apartments,athinapalada@gmail.com,28320-91331,28320-91371,Αγία Γαλήνη,740 56,ΑΓ.ΓΑΛΗΝΗ ΡΕΘΥΜΝ.ΚΡΗΤΗΣ,,2832-091077,2832-091371
ΠΑΛΛΑΔΙΟΝ,"


5 Χλμ
",2,www.hotel-palladion.gr,hotelpalladion@gmail.com,28310-71789,28310-71712,Άδελε,741 00,ΑΔΕΛΕ ΡΕΘΥΜΝΗΣ,28310-71111,2831-071789,2831-071712
ΠΑΛΛΑΔΙΟΝ,,5,,info@portoplatanias.gr,28210-38800,,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΠΑΛΜΕΡΑ,"


1 Χλμ
",4,www.palmerahotel.gr,info@palmerahotel.gr,28970-22481/3,28970-22483,Λιμένας Χερσονήσου,700 14,25ΗΣ ΜΑΡΤΙΟΥ 14,2897022482,,
ΠΑΝΔΟΧΕΙΟ ΠΑΡΑΔΕΙΣΟΣ,"


6 Χλμ
",1,,,28410-81288,,Μίλατος,724 00,ΜΙΛΑΤΟΣ ΛΑΣΗΘΙΟΥ,,281-0262352,2841-081288
ΠΑΝΔΩΡΑ,"


1 Χλμ
",4,www.pandorahotel.gr,info@pandora-hotel.com,28210-43588,28210-57864,Χανιά,731 00,ΛΙΘΙΝΩΝ 29,28210-43589,2821-054371,
ΠΑΝΘΕΟΝ,"


2.5 Χλμ
",3,www.pantheon-hotel.gr,panthhtl@otenet.gr,28310-54914,28310-54913,Ατσιπόπουλο,741 00,Τ.Θ. 112,28310-50940,2831-024506,
ΠΑΝΟΡΑΜΑ,"


8 Χλμ
",5,www.panorama-hotel.gr,y.karkavatsos@panorama-hotel.gr,28210-31700,28210-31708,Γαλατάς,731 00,Τ.Θ. 73,,2821-031700,2821-031708
ΠΑΝΟΡΑΜΑ,"


15 Χλμ
",4,www.panoramavillagehotel.com,info@panoramavillagehotel.com,2810-811002,2810-811273,Αγία Πελαγία,715 00,ΑΓ.ΠΕΛΑΓΙΑ ΗΡΑΚΛΕΙΟΥ,,281-0811002,281-0811273
ΠΑΝΟΡΑΜΑ,"


1.5 Χλμ
",3,,,28970-22476,,Κουτουλουφάρι,700 14,ΚΟΥΤΟΥΛΟΥΦΑΡΙ- ΠΙΣΚΟΠΙΑΝΟ ΗΡΑΚΛΕΙΟΥ,,,
ΠΑΝΟΡΑΜΑ ΣΤΑΛΙΔΟΣ,"


30 Χλμ
",2,www.panorama-stalis.com,info@panorama-stalis.com,28970-31958,28970-33615,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,28970-31959,2897-031958,2897-033615
ΠΑΝΟΡΜΟ ΜΠΗΤΣ,"


8 Χλμ
",3,www.panormobeach.gr,panormobeach@ghotels.gr,2834051321,28340-51323,Πάνορμος,740 57,ΠΑΝΟΡΜΟΣ ΡΕΘΥΜΝΗΣ,,2834051321,2834051323
ΠΑΝΟΣ ΜΠΗΤΣ,"


15 Χλμ
",2,,info@hotelpanos.gr,28210-60699,28210-60669,Πλατανιάς,731 00,ΓΥΡΟΓΙΑΛΙ ΠΛΑΤΑΝΙΑ ΧΑΝΙΩΝ,28210-81564,2821-081564,
ΠΑΠΑΔΑΚΗΣ,"


25 Χλμ
",2,www.papadakisapartments.gr,info@papadakisapartments.gr,2825061618,28250-61619,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,,
ΠΑΠΑΜΑΤΘΑΙΑΚΗΣ,,2,,nikospapama@gmail.com,6947902806,,Ιεράπετρα,72200,,,6947902806,
ΠΑΡΑΔΕΙΣΟΣ,,3,,paradisematala@gmail.com,28920-29210,28920-45043,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,,,
ΠΑΡΑΔΕΙΣΟΣ ΤΟΥ ΑΧΙΛΛΕΑ,"


2 Χλμ
",3,www.achilles-paradise.gr,info@achilles-paradise.gr,28210-60888,28210-60890,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΠΑΡΑΔΟΣΙΑΚΟΙ ΟΙΚΙΣΜΟΙ ΚΟΥΤΣΟΥΝΑΡΙ,"


9 Χλμ
",4,www.traditionalcottages.gr,welcome@traditionalcottages.gr,28420-61815,28420-61292,Κουτσουνάρι,722 00,Τ.Θ.32,28420-61291,28420-61815,28420-61292
ΠΑΡΑΛΙΑ ΑΙΟΛΟΣ,,3,https://aeolosbeachresort.gr,info@aeolosbeachresort.gr,2897033683,2897033844,Χερσόνησος,70007,,,,
ΠΑΡΑΛΙΑ ΑΚΡΟΓΙΑΛΙ,,3,,info@akrogiali-hotel.gr,2897033665,2897032100,Μάλια,70007,,,,
ΠΑΡΑΛΙΑ ΦΟΙΝΙΚΟΔΕΔΡΟ,"


0.1 Χλμ
",2,,buchen@palmbeachhotel.de,28430-51679,,Κουτσουράς,720 55,ΚΟΥΤΣΟΥΡΑΣ ΣΗΤ. ΛΑΣΗΘΙΟΥ,28430-51333,2843-028477,2843-028477
ΠΑΡΑΛΙΑΚΟ ΞΕΝ/ΧΕΙΟ ΤΗΣ ΜΑΡΓΑΡΙΤΑΣ,,2,,mxanioths@yahoo.gr,28210-68970,,Αγία Μαρίνα,731 00,,,,
ΠΑΡΑΝΤΑΪΣ ΑΪΛΑΝΤ ΒΙΛΛΑΣ,"


2 Χλμ
",5,www.paradiseislandvillas.gr,info@paradiseislandvillas.gr,6974790367,28970-21655,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΧΕΡΣΟΝ.ΚΡΗΤΗΣ,28970-23793,281-0234133,
ΠΑΡΑΣΚΕΥΗ,"


0.5 Χλμ
",2,,efigiannoudaki@gmail.com,28970-24563,28970-24563,Λιμένας Χερσονήσου,700 14,ΘΕΟΤΟΚΟΠΟΥΛΟΥ 14,28970-24168,,
ΠΑΡΘΕΝΗΣ,,2,,,6944-180465,,Μάλια,700 07,ΜΑΛΙΑ ΗΡΑΚΛΕΙΟΥ,,,
ΠΑΡΘΕΝΗΣ ΠΑΡΑΛΙΑ,,1,,,6944-180465,,Μάλια,700 07,ΜΑΛΙΑ ΗΡΑΚΛΕΙΟΥ,,,
ΠΑΡΘΕΝΩΝ,"


1 Χλμ
",1,,parthenon.souda@gmail.com,28210-89245,,Σούδα,732 00,ΕΘΝΑΡΧΟΥ ΒΕΝΙΖΕΛΟΥ 29,,,
ΠΑΡΚ,"


0.4 Χλμ
",2,,park.rethymno@gmail.com,28310-29958,28310-50807,Ρέθυμνο,741 00,ΗΓΟΥΜΕΝΟΥ ΓΑΒΡΙΗΛ 9,,,
ΠΑΡΚΟ ΓΟΥΒΩΝ,"


0.2 Χλμ
",5,www.gouvespark.gr,info@gouvespark.gr,28970-43300,28970-43264,Κάτω Γούβες,700 14,ΚΑΤΩ ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,,2897-043300,2897-043264
ΠΑΣΙΦΑΗ,"


1 Χλμ
",2,www.pasiphae-hotel.gr,info@pasiphae-hotel.gr,2810-245392,2810-285556,Ηράκλειο,713 07,ΠΟΣΕΙΔΩΝΟΣ 34,,,
ΠΑΣΙΦΑΗ,,2,,manosfragakis88@gmail.com,2897033342,,Μάλια,700 07,,,,
ΠΑΣΙΦΑΗ,"


14 Χλμ
",3,www.dorovinis.gr,dorov@otenet.gr,28420-41377,210-6000259,Ανατολή,722 00,,210-6000259,21-06000259,21-06000259
ΠΑΤΡΙΚΟ,,3,www.patriko-kreta.com,dimtzortz@hotmail.com,000-0000000,,Βώροι,702 00,,,,
ΠΑΤΡΙΚΟ,"


8 Χλμ
",4,,emvalsamakis@gmail.com,28250-51510,28250-51510,Βαφές,730 07,ΒΑΦΕΣ ΧΑΝΙΩΝ,6977219597,,
ΠΑΥΛΑΚΗΣ ΜΠΗΤΣ,"


7 Χλμ
",2,www.dreampavlakis.com,info@pavlakisbeach.com,28210-68309,,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ,28210-68528,,
ΠΑΥΛΟΣ,,2,,,28310-71304,,Σταυρωμένος,741 00,ΣΤΑΥΡΩΜΕΝΟΣ ΡΕΘΥΜΝΟΥ,,,
ΠΑΥΛΟΣ ΜΑΡΙΑ ΚΑΣΑΠΑΚΗΣ,"


5 Χλμ
",1,,paulmariean@yahoo.gr,28970-23104,28970-23104,Ανάληψη,700 14,,28970-24565,,
ΠΕΛΑ ΜΑΡΕ,"


13 Χλμ
",2,www.pelamare.wix.com/pelamare,pelamare@gmail.com,2810762000,2810-761382,Χάνι Κοκκίνη,715 00,ΚΟΚΚΙΝΟ ΧΑΝΙ ΑΝ.ΗΡΑΚΛΕΙΟΥ,,2810762000,2810761382
ΠΕΛΑ ΜΑΡΙΑ,"


1 Χλμ
",3,www.pelamariahotel.com,info@pelamariahotel.com,28970-22195,28970-22660,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 177,,,
ΠΕΛΗ,"


0.6 Χλμ
",2,www.hotelpeli.com,info@hotelpeli.com,28220-23223,28220-22343,Κίσσαμος,734 00,ΚΑΣΤΕΛΙ,28220-23654,,
ΠΕΛΛΑ ΣΤΗΒ,"


2 Χλμ
",2,,pellast@otenet.gr,28210-33399,28210-32707,Δαράτσος,731 00,ΑΓ.ΑΠΟΣΤΟΛΟΙ,,2821-042288,2821-043271
ΠΕΝΙΝΣΟΥΛΑ ΡΕΣΟΡΤ,"


2 Χλμ
",3,www.peninsula.gr,info@peninsula.gr,2810-811313,2810812230,Αγία Πελαγία,715 00,ΑΓΙΑ ΠΕΛΑΓΙΑ ΗΡΑΚΛΕΙΟΥ,2810-811335,281-0811313,2810812230
ΠΕΠΕΡ ΣΕ ΚΛΑΜΠ ΧΟΤΕΛ,"


4 Χλμ
",5,www.pepperhotel.gr,info@pepperhotel.gr,28310-61602,28310-61669,Δράμια,730 07,ΔΡΑΜΙΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,28250-61739,,
ΠΕΡΑΚΗΣ ΑΠΑΡΤΜΕΝΤΣ,"


0.3 Χλμ
",1,,,28970-22968,,Λιμένας Χερσονήσου,700 14,ΔΗΜΟΚΡΑΤΙΑΣ 11,,2897-022968,
ΠΕΡΓΑΜΟΣ ΧΩΡΙΟ,"


5 Χλμ
",2,www.pergamos-hotel.gr,agiousoufelas@gmail.com,28240-22944,28240-22945,Καμισιανά,734 00,ΡΑΠΑΝΙΑΝΑ ΚΙΣΣΑΜΟΥ ΧΑΝΙΩΝ,28240-22945,2821-073775,
ΠΕΡΙΠΛΟΥΣ,,1,,ibatsis@gmail.com,6936655639,,Χανιά,73100,ΝΙΚΗΦΟΡΟΥ ΦΩΚΑ 493,,,
ΠΕΡΛΑ,"


25 Χλμ
",3,www.perla-apartments.com,info@perla-apartments.com,2810-811034,2810-811012,Αγία Πελαγία,715 00,ΑΓΙΑ ΠΕΛΑΓΙΑ ΗΡΑΚΛΕΙΟΥ,2810-312490,281-0312490,281-0811012
ΠΕΡΛΑ,"


0.35 Χλμ
",1,www.apartments-perla.gr,info@apartments-perla.gr,28410-23379,28410-23379,Άγιος Νικόλαος,721 00,ΣΑΛΑΜΙΝΟΣ 4,28410-26523,2841-026523,
ΠΕΡΛΑ ΑΙΓΑΙΟΥ,"


2.5 Χλμ
",5,www.aegean-pearl.com,babistzanakakis@gmail.com,2831051513,28310-54891,Ρέθυμνο,741 00,ΚΟΥΤΣΟΛΙΔΙ,,,
ΠΕΡΛΑ ΜΠΗΤΣ,"


7 Χλμ
",3,www.perlabeach.gr,info@perlabeach.gr,28210-60277,28210-60572,Αγία Μαρίνα,731 00,,,6947-448471,
ΠΕΤΟΥΣΗΣ ΞΕΝΟΔΟΧΕΙΟ & ΣΟΥΪΤΕΣ,,4,www.petousis.gr,info@petousis.gr,2810-821376,2810-824060,Γάζι,714 14,ΠΑΠΑΝΔΡΕΟΥ ΑΝΔΡΕΑ 140,2810-823071,,
ΠΕΤΡΑ,"


25 Χλμ
",2,https//www.hotel-petra.gr,agiagalini.hotelpetra@gmail.com,28320-91155,28320-91175,Αγία Γαλήνη,740 56,ΑΓ.ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,2832091175,2832-091155,2832-091175
ΠΕΤΡΑ ΜΑΡΕ,"


0.8 Χλμ
",4,www.petramare.com,petramare@petramare.com,28420-23341/7,28420-23350,Ιεράπετρα,722 00,ΙΕΡΑΠΕΤΡΑ ΚΡΗΤΗΣ,28420-22412,,
ΠΕΤΡΑΔΙ ΑΚΤΗ,"


1.5 Χλμ
",2,www.petradibeach.gr,info@petradi-beach.gr,28310-35340,28310-35343,Ρέθυμνο,741 00,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 79,28310-35342,2831-035340,2831-035343
ΠΕΤΡΑΣ ΜΠΗΤΣ,"


1 Χλμ
",1,hotelpetrasbeach.com,petrasbeach@yahoo.gr,6973736145,,Σητεία,723 00,ΣΗΤΕΙΑ ΛΑΣΗΘ.ΚΡΗΤΗΣ,28430-22991,2843-022991,
ΠΕΤΡΗΣ,"


0.8 Χλμ
",2,,,28310-22465,,Ρέθυμνο,741 00,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 30,28310-51497,,
ΠΕΤΡΙΝΟ,,1,,zfm@hotmail.gr,28970-32447,,Μάλια,700 07,ΚΑΠΕΤΑΝ ΚΑΖΑΝΗ 6,,,
ΠΕΤΡΙΝΟ ΣΠΙΤΙ,"


4 Χλμ
",3,www.casadipietra.gr,booking@casadipietra.gr,28210-88541,28210-88541,Χανιά,731 00,ΘΕΟΤΟΚΟΠΟΥΛΟΥ 37,,,
ΠΕΤΡΙΝΟ ΧΩΡΙΟ,"


0.6 Χλμ
",4,,dkla54@otenet.gr,28340-22007,28340-22007,Βλυχάδα,740 57,ΒΛΥΧΑΔΑ ΜΠΑΛΙ ΡΕΘΥΜΝΟΥ,,,
ΠΗΓΑΣΟΣ,"


1 Χλμ
",2,www.pegasus-hotel-crete.com,pegasusa@otenet.gr,28310-25530,28310-51703,Ρέθυμνο,741 00,Σ.ΒΕΝΙΖΕΛΟΥ 56,28310-20854,2831-058639,2831-051703
ΠΗΓΑΣΟΣ,"


8 Χλμ
",3,www.pegasushotel-ch.gr,pegasush@otenet.gr,28210-38130,28210-38134,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ,28210-38131,2821-095540,2821-038134
ΠΙΣΚΟΠΙΑΝΟ,"


1 Χλμ
",2,www.piskopianovillage.gr,info@piskopianovillage.gr,28970-22726,28970-22354,Λιμένας Χερσονήσου,700 14,ΕΥΡΩΠΗΣ 17,,6978-115289,
ΠΛΑΖΑ ΝΤΙ ΠΟΡΤΟ,"


0.1 Χλμ
",5,www.portoplatanias.gr,info@portoplatanias.gr,28210-38800,28210-60641,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ,,2821-038800,2821-060641
ΠΛΑΖΑ ΣΑΝΤΑ ΜΑΡΙΝΑΣ,"


2 Χλμ
",4,www.santamarina-plaza.gr,santamarinaplaza@giannoulishotels.com,28210-36860,28210-36880,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,6977-358245,2821-036880
ΠΛΑΖΑ ΣΟΥΙΤΕΣ,"


3 Χλμ
",3,www.grecotel.com,reservations.ps@grecotel.com,28310-51505,28310-35738,Ρέθυμνο,741 00,ΠΕΡΙΒΟΛΙΑ ΡΕΘΥΜΝΗΣ,28310-20671,2831-051505,2831-035738
ΠΛΑΚΟΥΡΕΣ,"


15 Χλμ
",2,www.plakures.de,info@plakures.de,28220-41581,28220-41781,Φαλασαρνά,734 00,,28220-83163,,
ΠΛΑΤΑΝΕΣ,,2,,seorizos@cyta.gr,28310-22461,28310-41215,Ρέθυμνο,741 00,,28310-25534,,
ΠΛΑΤΑΝΙΑ,,3,,,28310-35762,,Πλατάνια,740 61,ΠΛΑΤΑΝΙΑ ΑΜΑΡΙΟΥ ΡΕΘΥΜΝΟΥ,,,
ΠΛΑΤΑΝΙΑΣ ΑΡΙΣΤΟΝ,,5,www.plataniasariston.com,info@plataniasariston.com,2821068188,,Πλατανιάς,73100,,,,
ΠΟΛΙΣ,"


0.15 Χλμ
",4,http://pollis.gr,info@pollis.gr,28970-24440,28970-22796,Λιμένας Χερσονήσου,700 14,ΦΙΛΟΝΙΔΟΥ ΖΩΤΟΥ 11,6976867785,281-0283820,
ΠΟΛΥΔΩΡΟΣ,"


15 Χλμ
",2,www.hotelpolydoros.gr,info@hotelpolydoros.gr,28230-41150,28230-41578,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,,6978-123629,2823-041578
ΠΟΛΥΡΙΖΟΣ,"


30 Χλμ
",3,,polyrizo@otenet.gr,28320-31334,28320-32170,Κάτω Ροδάκινο,740 60,Κ.ΡΟΔΑΚΙΝΟ ΑΓ.ΒΑΣ.ΡΕΘΥΜΝΟΥ,28320-32169,,
ΠΟΠΗ,"


9 Χλμ
",2,www.popihotel.gr,popimihala@gmail.com,2821068779,28210-68757,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ,6945790406,28210-98713,28210-68779
ΠΟΡΤΟ,"


5 Χλμ
",2,www.hotelportoloutro.com,sofiaandroulakaki@gmail.com,28250-91455,28250-91091,Λουτρό,730 11,ΛΟΥΤΡΟ ΣΦΑΚΙΩΝ ΧΑΝΙΩΝ,,,
ΠΟΡΤΟ ΒΙΛΛΑΤΖ,,1,,Portovillage@otenet.gr,28970-21652,,Λιμένας Χερσονήσου,700 14,ΚΟΡΑΚΙΑ,,,
ΠΟΡΤΟ ΓΑΛΗΝΗ,"


0.6 Χλμ
",2,www.agia-galini.com,portogal@otenet.gr,28320-91284,28320-91084,Αγία Γαλήνη,740 56,ΑΓ.ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,,,
ΠΟΡΤΟ ΕΛΟΥΝΤΑ ΚΕΝΤΡΟ ΔΙΑΚΟΠΩΝ,"


2 Χλμ
",5,www.portoelounda.com,porto@elounda-sa.com,28410-68000,28410-41889,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΗΘΙΟΥ,,21-06776084,2841-041889
ΠΟΡΤΟ ΚΑΛΑΜΑΚΙ,"


5 Χλμ
",2,www.porto-kalamaki.gr,info@porto-kalamaki.gr,28210-32990,28210-32447,Γαλατάς,731 00,ΚΑΤΩ ΓΑΛΑΤΑΣ ΧΑΝΙΩΝ,28210-31035,6974630351,2821-032447
ΠΟΡΤΟ ΛΟΥΤΡΟ,"


5 Χλμ
",2,www.hotelportoloutro.com,onthehill@hotelportoloutro.com,28250-91433,28250-91091,Λουτρό,730 11,ΛΟΥΤΡΟ ΣΦΑΚΙΩΝ ΧΑΝΙΩΝ,28250-91444,2821-043941,2821-043941
ΠΟΡΤΟ ΜΑΛΤΕΖ,,1,www.porto-maltese.com,info@porto-maltese.com,28410-22841,,Άγιος Νικόλαος,721 00,ΚΟΥΝΔΟΥΡΟΥ 9,,,
ΠΟΡΤΟ ΜΠΕΛΛΟ,"


10 Χλμ
",1,www.portobello-villas.gr,info@portobello-villas.gr,28410-81001,2810-220173,Μίλατος,724 00,ΜΙΛΑΤΟΣ ΛΑΣΗΘΙΟΥ,2810-288777,2810-288777,2810-220173
ΠΟΡΤΟ ΝΤΙ ΚΑΝΤΙΑ-ΚΑΝΤΙΑ ΠΑΡΚ ΒΙΛΑΤΖ,"


2.5 Χλμ
",4,www.bluegr.com,constantinos@bluegr.com,28410-26811,28410-22367,Κατσίκια,721 00,ΧΑΒΑΝΙΑ,,2841-026811,2841-022367
ΠΟΡΤΟ ΡΕΘΥΜΝΟ,"


1 Χλμ
",5,www.aquilahotels.com,gman.pr@aquilahotels.com,2831050432,2831027825,Ρέθυμνο,741 00,ΣΙΚΕΛΙΑΝΟΥ  &  ΒΕΝΙΖΕΛΟΥ 52,,6948300703,2831027825
ΠΟΡΤΟ ΣΕΙΣΙ,"


15 Χλμ
",4,www.portosisi.com,info@portosisi.com,6944506032,28410-71232,Σίσι,724 00,ΣΕΙΣΙ ΛΑΣΗΘΙΟΥ ΚΡΗΤΗΣ,28410-71385,6944-506032,2841-071232
ΠΟΡΤΟΚΑΛΙ,"


3 Χλμ
",1,portokalihotel.gr,portokalihotel@hotmail.com,28970-24324,28970-24324,Ανισσαράς,700 14,ΦΡΑΜΑ ΑΝΙΣΣΑΡΑ ΗΡΑΚΛΕΙΟΥ ΚΡ.,,,
ΠΟΣΕΙΔΩΝ,"


2 Χλμ
",2,www.hotelposeidon.gr,info@hotelposeidon.gr,2810-222545,2810-245360,Ηράκλειο,712 02,ΠΟΣΕΙΔΩΝΟΣ 46,2810-245360,,
ΠΟΣΕΙΔΩΝ,,2,,info@poseidonrethymno.com,28310-23795,,Ρέθυμνο,741 00,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ 61,,,
ΠΟΣΕΙΔΩΝ,"


10 Χλμ
",1,www.poseidon-apartments.com,info@poseidon-apartments.com,28210-33633,28210-33633,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΟ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΠΟΣΕΙΔΩΝ,"


2 Χλμ
",3,www.poseidon-hotel-crete.gr,info@poseidon-hotel-crete.gr,2810-822111,2810-822131,Γάζι,714 14,ΑΛΜΥΡΟΥ 1,,,
ΠΟΣΕΙΔΩΝΙΟ,"


1.5 Χλμ
",2,,posidoniohotel@gmail.com,28210-87404,28210-93572,Χανιά,731 00,ΑΚΤ.ΠΑΠΑΝΙΚΟΛΗ  &  ΓΩΝΙΑΝΕΑ,28210-93572,,
ΠΡΙΓΚΗΠΑΣ ΤΩΝ ΚΡΙΝΩΝ,"


15 Χλμ
",2,www.princeoflillies.gr,princeoflilliesbooking@gmail.com,2810381645,,Ελαία,715 00,ΑΜΝΙΣΣΟΣ ΗΡΑΚΛΕΙΟΥ,,,
ΠΡΙΓΚΗΠΙΣΣΑ ΕΥΡΩΠΗ,,2,www.princess-europa.gr,info@princess-europa.gr,28920-45113,28920-45756,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,28920-45734,21-09647215,2892-045756
ΠΡΙΓΚΙΠΙΣΣΑ ΚΟΡΙΣΣΙΑ,"


3 Χλμ
",2,www.corissia.com,info@corissia.com,28250-83700,28250-61389,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΑΠΟΚ.ΧΑΝΙΩΝ,28250-83760,,
ΠΡΙΓΚΙΠΙΣΣΑ ΝΑΝΑ,,5,,info@nanaprincess.gr,2897026900,2897026999,Χερσόνησος,70014,ΔΡΑΠΑΝΟΣ ΤΘ 20,,,
ΠΡΙΓΚΙΠΙΣΣΑ ΤΟΥ ΛΙΒΥΚΟΥ,"


0.15 Χλμ
",4,www.libyanprincess.gr,info@libyanprincess.gr,6977939877,28230-42060,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,,28230-41307,28230-41605
ΠΡΩΙΜΟΣ ΑΡΤΣ ΓΕΡΑΝΙ,"


13 Χλμ
",2,www.proimos-apartments.gr,ioannaproimou@hotmail.gr,28210-61126,28210-60464,Γεράνι,731 00,,,2821-068211,2821-060464
ΠΤΕΡΥΞ ΗΛΙΟΥ 1,"


35 Χλμ
",4,,makrigialos@sunwing.net,28430-64300,28430-51756,Μακρυγιαλός,720 55,ΜΑΚΡΥΓΙΑΛΟΣ ΣΗΤΕΙΑΣ,,2843-064300,2843-051756
