Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ,Τηλέφωνο 2
ΜΕΤΕΩΡΑ ΣΕΝΤΡΑΛ ΧΟΣΤΕΛ,,0,,meteoracentral@gmail.com,2432077395,,Καλαμπάκα,ΤΡΙΚΑΛΩΝ  86,42200,,,
ΜΕΤΕΩΡΙΤΗΣ,"


3 Χλμ
",3,www.meteoritis.com,info@meteoritis.com,6957092818,24320-78402,Καστράκι,ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣ,422 00,6957092818,,24320-78403
ΜΕΤΡΟΠΟΛ,"


1 Χλμ
",3,www.hotelmetropol.gr,info@hotelmetropol.gr,2410-537161,2410-255242,Λάρισα,ΡΟΥΖΒΕΛΤ 14,412 22,,,2410-537165
ΜΙΚΡΗ ΑΡΚΤΟΣ,"


32 Χλμ
",2,www.mikriarktos.com.gr,info@mikriarktos.com,24340-71777,,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,6974891414,,
ΜΙΝΕΛΣΚΑ,,4,www.minelska.gr,info@minelska.gr,24230-22990,24230-22172,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ Ν. ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΜΙΡΑ ΜΑΡΕ,"


0.4 Χλμ
",3,,miramare_skiathos@yahoo.com,24270-21048,,Σκιάθος,ΜΕΓ.ΑΜΜΟΣ ΣΚΙΑΘΟΥ,370 02,21-02713910,21-02713910,
ΜΟΝΤΑΝΕΜΑ ΒΗΤΑ,,4,www.montanema.gr,info@montanema.gr,2445045220,2445045209,Ανθοχώρι,,43060,,,2445045220
ΜΟΝΤΑΝΕΜΑ ΧΑΝΤΜΕΪΝΤ ΒΙΛΛΑΤΖ,,4,www.montanema.gr,info@montanema.gr,6947275714,,Ανθοχώρι,,430 60,,,2445045220
ΜΟΝΤΑΝΙΑ ΒΕΡΝΤΕ,,3,www.hotelmontagnaverde.gr,info@hotelmontagnaverde.gr,24280-99757,24280-99727,Πορταριά,ΠΟΡΤΑΡΙΑ,370 11,,,
ΜΟΡΦΙΑ,"


8 Χλμ
",2,www.hotelmorfia.gr,info@hotelmorfia.gr,24270-49367,24270-49485,Σκιάθος,,370 02,2427-023649,2427-049485,
ΜΟΥΖΑΚΙ,"


0.5 Χλμ
",4,www.mouzakipalace.com,info@mouzakipalace.com,24450-43450/3,24450-43454,Μουζάκι,ΜΟΥΖΑΚΙ ΚΑΡΔΙΤΣΑΣ,430 60,,,
ΜΟΥΡΙΑ,,1,,mouria1@hotmail.com,24270-21193,,Σκιάθος,ΠΑΠΑΔΙΑΜΑΝΤΗ  &  ΣΥΓΓΡΟΥ,370 02,,,
ΜΟΥΣΕΣ,"


10 Χλμ
",3,,maria.karoumpa@hotmail.com,24270-49438/9,,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ ΣΚΙΑΘΟΥ,370 02,6974989435,,6974989435
ΜΠΑΛΛΑΣ,"


6 Χλμ
",1,www.hotelballas.gr,info@hotelballas.gr,24280-92926,24280-92926,Αγριά,ΑΓΡΙΑ ΒΟΛΟΥ,373 00,,,
ΜΠΑΜΠΑΝΑΡΑ,"


0.4 Χλμ
",2,,hotelbab@windowslive.com,24340-22325,24340-22242,Πύλη,ΕΡΜΟΥ 6,420 32,,,
ΜΠΑΜΠΗΣ,"


0.5 Χλμ
",1,,babispansion@gmail.com,24270-21968,24270-21144,Σκιάθος,ΚΟΤΡΩΝΙ ΣΚΙΑΘΟΥ,370 02,,,24270-21144
ΜΠΕΛΙΝΑ,,4,https://belinahotelportaria.gr/,belinahotel@gmail.com,2428099890,2428099049,Πορταριά,ΠΟΡΤΑΡΙΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,2428099049
ΜΠΕΛΤΣΙΟΣ,"


7 Χλμ
",1,www.beltsioshotel.com,info@beltsioshotel.com,24270-49417,24270-49571,Σκιάθος,,370 02,2427-049417,2427-049571,
ΜΠΕΜΠΗΣ,,3,www.bebis.gr,ompempis@hotmail.com,2494052821,,Κουτσουπιά,,40003,,,
ΜΠΛΩ,,2,,kehriotism@gmail.com,24240-23397,24240-23397,Πάνορμος,,370 03,,,24240-22552
ΜΠΟΥΡΤΖΙ,"


0.2 Χλμ
",4,www.hotelbourtzi.gr,reservation@hotelbourtzi.gr,24270-21304,24270-23243,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-021304,2427-023243,24270-22321
ΜΥΘΟΣ,,2,,info@mythosstudios.gr,24270-49661,,Σκιάθος,,370 02,,,24270-49662
ΜΥΛΟΣ,"


4 Χλμ
",3,www.hotelmylos.gr,info@hotelmylos.gr,24230-91192,,Αγία Κυριακή,ΑΓΙΑ ΚΥΡΙΑΚΗ ΜΑΓΝΗΣΙΑΣ,370 09,,,24230-91492
ΜΥΡΟΒΟΛΙ,"


30 Χλμ
",2,www.mirovolihotel.gr,angavardi@gmail.com,24230-86886,,Μηλιές,ΜΗΛΙΕΣ ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΜΥΣΤΙΚΟ ΤΟΥ ΒΟΥΝΟΥ,"


25 Χλμ
",4,www.mountainsecret.gr,info@mountainsecret.gr,24260-48942,2102851207,Μουρέσι,ΜΟΥΡΕΣΙ Ν.ΜΑΓΝΗΣΙΑΣ,370 12,,,
ΜΥΤΙΚΑΣ,"


0.1 Χλμ
",1,,lanari@lanari.gr,24930-41210,24930-41121,Λιβάδι,,400 02,,,
ΝΑΙΑΔΕΣ,"


34 Χλμ
",4,www.naiades.gr,info@naiades.gr,24410-93333,24410-93173,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 67,,,93380
ΝΑΡΚΙΣΟΣ,"


12 Χλμ
",2,narkissos.businessclub.gr,skopelosmarine@gmail.com,24240-23381,24240-23737,Πάνορμος,ΠΑΝΟΡΜΟΣ ΣΚΟΠΕΛΟΥ,370 03,2424-024687,,24240-23382
ΝΑΤΟΥΡΑ ΛΑΞΟΥΡΥ ΞΕΝΟΔΟΧΕΙΟ ΣΚΟΠΕΛΟΣ,,5,www.naturahotels.gr,info@naturahotels.eu,6941477545,2424033697,Λουτράκι,,37003,,,
ΝΕΒΡΟΣ,"


5 Χλμ
",4,www.nevros.gr,nevros@otenet.gr,24410-93201,,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 67,,,
ΝΕΟΝ,"


1.5 Χλμ
",1,,,2410-554111,,Λάρισα,ΠΛΑΤΕΙΑ ΟΣΕ,412 23,,,
ΝΕΦΕΛΗ,"


0.5 Χλμ
",3,www.nefelivolos.gr,info@nefelivolos.gr,24210-30211/3,24210-35616,Βόλος,ΚΟΥΜΟΥΝΔΟΥΡΟΥ 10,382 21,,,
ΝΗΡΗΙΔΕΣ,"


2 Χλμ
",2,www.nereides.gr,hotelnereides@gmail.com,6944580044,24240-66434,Πατητήρι,,370 05,2424-066096,,24240-65644
ΝΙΑΒΗΣ,"


0.2 Χλμ
",2,,,24340-91201,24340-91281,Νεραϊδοχώρι,ΝΕΡΑΙΔΟΧΩΡΙ ΤΡΙΚΑΛΩΝ,420 32,,,24340-91281
ΝΙΡΒΑΝΑ,,1,,lakisvardakis@hotmail.gr,24230-22205,24230-22205,Καλά Νερά,,370 10,,,
ΝΤΑΜΟΥΧΑΡΗ,"


7 Χλμ
",2,,damouchari@hotmail.com,24260-49840,24260-49840,Νταμούχαρη,ΝΤΑΜΟΥΧΑΡΗ ΠΗΛΙΟΥ,370 12,2426-049840,2426-049840,24260-49841
ΝΤΕΛΛΑΣ,"


0.7 Χλμ
",3,www.dellasboutiquehotel.com,info@dellasboutiquehotel.com,24320-78260,2432078261,Καστράκι,ΝΕΟΧΩΡΙ ΚΑΣΤΡΑΚΙΟΥ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
ΝΤΕΝΙΖ,"


0.15 Χλμ
",2,www.denise.gr,info@denise.gr,24240-22678,24240-22769,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,21-06831272,,24240-23393
ΝΤΙΝΑ,"


0.8 Χλμ
",3,www.ntinashotel.gr,info@ntinashotel.gr,24310-74777,24310-29490,Τρίκαλα,ΑΣΚΛΗΠΙΟΥ & ΚΑΡΑΝΑΣΙΟΥ 1,421 00,,,
ΝΤΟΥΠΙΑΝΗ ΧΑΟΥΖ,"


2 Χλμ
",3,www.doupianihouse.com,info@doupianihouse.com,2432075326,2432024078,Καστράκι,,422 00,,,2432077555
ΞΕΝΙΑ,"


0.2 Χλμ
",5,www.domotel.gr,xeniavolou@domotel.gr,24210-92740,24210-92800,Βόλος,ΠΛΑΣΤΗΡΑ 1,382 22,2421-092721,2421-092888,24210-92700
ΞΕΝΙΑ ΠΑΛΛΑΣ ΠΟΡΤΑΡΙΑΣ,"


13 Χλμ
",4,www.xeniaportarias.gr,info@xeniaportarias.gr,24280-99980,24280-99526,Πορταριά,ΠΟΡΤΑΡΙΑ ΒΟΛΟΥ ΜΑΓΝΗΣΙΑΣ,370 11,,,24280-99983
ΞΕΝΟΔΟΧΕΙΟ ΜΕΤΟΧΙ,,3,,info@hotelmetoxi.gr,24950-71150,24950-71300,Σπηλιά,ΣΠΗΛΙΑ ΛΑΡΙΣΑΣ,400 06,,,
ΞΕΝΩΝ ΚΑΣΤΑΝΙΑΣ,"


0.5 Χλμ
",2,,xrhstosdiamanths@yahoo.gr,24410-94155,24410-94454,Καστανιά,,431 00,,,24410-94855
ΞΕΝΩΝΑΣ ΤΩΝ ΧΡΩΜΑΤΩΝ-ΣΥΛΛΟΓΗ ΧΡ. ΦΩΤΟΥ,,4,,fotuarthotel@gmail.com,24230-65225,24210-71143,Λαύκος,ΛΑΥΚΟΣ ΜΑΓΝΗΣΙΑΣ,370 06,,,
ΞΥΛΙΝΟ ΧΩΡΙΟ,"


20 Χλμ
",3,www.xilinohorio.gr,info@xilinohorio.gr,2432-300370,210-5771866,Χρυσομηλιά,ΒΡΥΣΟΥΛΑ ΧΡΥΣΟΜΗΛΙΑΣ ΤΡΙΚΑΛΩΝ,422 00,21-05759746,,2105771866
ΟΔΟΣ ΚΕΝΤΑΥΡΩΝ,"


1.5 Χλμ
",2,www.odoskentavron.gr,odoskentavron@gmail.com,24260-49900,24260-49900,Τσαγκαράδα,,370 12,,,
ΟΔΥΣΣΕΑΣ,"


1.5 Χλμ
",2,www.odysseashotel.com,odysseashotel@gmail.com,24410-92988,24410-92992,Καλύβια,,430 67,,,24410-92001
ΟΔΥΣΣΕΙΟΝ,"


0.8 Χλμ
",4,www.theatrohotelodysseon.com,info@theatrohotelodysseon.com,2432094444,,Καλαμπάκα,ΠΑΤΡ.ΔΗΜΗΤΡΙΟΥ 54,422 00,,,
ΟΘΡΥΣ,"


25 Χλμ
",3,,,24220-94345,,Άγιος Ιωάννης,,371 00,,,
ΟΙΚΟΣΗΜΟ,"


9 Χλμ
",3,www.ikosimo.gr,info@ikosimo.gr,24230-65217,,Μηλίνα,ΜΗΛΙΝΑ ΒΟΛΟΥ,370 13,6978885765,,
ΟΛΓΑ,"


1 Χλμ
",3,users.in.gr/hotelolga,info@hotelolga.gr,24260-49651,2426049651,Μουρέσι,ΜΟΥΡΕΣΙ ΠΗΛΙΟΥ,370 12,,,
ΟΛΥΜΠΙΟΝ,"


0.3 Χλμ
",1,,,24930-22278,,Ελασσόνα,ΙΣΑΥΡΩΝ 2,402 00,,,2493023304
ΟΡΑΜΑ,"


27 Χλμ
",2,www.oramahotel.gr,info@oramahotel.gr,24410-92994,24410-92581,Κρυονέρι,,430 67,,,
ΟΡΕΑΔΕΣ ΞΕΝΟΔΟΧΕΙΟ ΣΑΚΕΛΛΑΡΗ,,3,www.oreadeselati.gr,hotel@oreadeselati.gr,2434071233,2434071232,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΟΡΕΙΑΔΕΣ,"


4 Χλμ
",4,www.oriades.com,oriadespelion@gmail.com,24260-48898,,Μουρέσι,ΜΟΥΡΕΣΙ ΜΑΓΝΗΣΙΑΣ,370 12,,,
ΟΡΣΑ,"


0.5 Χλμ
",2,www.skiathoshotelvillaorsa.gr,info@skiathoshotelvillaorsa.gr,24270-22300,24270-21975,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,21-06521989,2427-021952,24270-21890
ΟΡΦΕΑΣ,"


0.5 Χλμ
",3,www.hotel-orfeas.gr,info@hotel-orfeas.gr,24320-77444,24320-77445,Καλαμπάκα,ΠΙΝΔΟΥ 58,422 00,,,
ΟΣΤΡΙΑ,"


3 Χλμ
",2,www.stafylos-suites.gr,stafylossuites@otenet.gr,24240-22220,,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2424-022220,,2424023236
ΟΣΤΡΙΑ,,2,www.hotelostria.gr,reservations@hotelostria.gr,24270-23589,24270-49549,Σκιάθος,,370 02,2427-023589,,24270-49549
ΠΑΛΗΟ ΕΛΑΙΟΤΡΙΒΕΙΟ,"


0.01 Χλμ
",4,www.palioeleotrivio.gr,info@palioeleotrivio.gr,24280-96481,24280-96482,Άγιος Λαυρέντιος,ΑΓΙΟΣ ΛΑΥΡΕΝΤΙΟΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,210-9837971
ΠΑΛΙΟΣ ΣΤΑΘΜΟΣ,"


0.5 Χλμ
",4,www.paliosstathmos.com,palios_stathmos@hotmail.com,24230-86425,24230-86736,Μηλιές,ΜΗΛΙΕΣ ΠΗΛΙΟΥ ΜΑΓΝΗΣΙΑΣ,370 10,2423-086425,,
ΠΑΛΙΡΡΟΙΑ,"


0.5 Χλμ
",2,www.palirria-hotel.gr,info@palirria-hotel.gr,24230-22488,,Καλά Νερά,ΠΕΛΕΓΚΡΙΝΟ ΜΗΛΕΩΝ ΠΗΛΙΟΥ,370 10,,,
ΠΑΛΛΑΔΙΟ ΙΙ,"


13 Χλμ
",4,www.palladiohotel.gr,palladiohotel@gmail.com,24280-90118,24280-99668,Πορταριά,ΠΟΡΤΑΡΙΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΠΑΛΛΑΔΙΟΝ,"


13 Χλμ
",3,www.palladiohotel.gr,palladiohotel@gmail.com,24280-90118,24280-99668,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΠΑΝΔΙΩΝ,"


12 Χλμ
",3,www.pandion.gr,info@pandion.gr,24410-93440,24410-93443,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 67,,,
ΠΑΝΔΩΡΑ,"


12 Χλμ
",4,www.pandoramansion.gr,info@pandoramansion.gr,24280-99404,24280-90113,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,
ΠΑΝΕΛΛΗΝΙΟΝ,"


0.6 Χλμ
",4,www.hotelpanellinion.com,hotelpanellinion@yahoo.gr,2431073545,2431027350,Τρίκαλα,ΒΑΣ.ΟΛΓΑΣ 2,421 00,,,2431073035
ΠΑΝΘΕΟΝ,"


1 Χλμ
",1,,pantheon51@outlook.com,2410-234810,2410-234810,Λάρισα,ΠΛΑΤΕΙΑ ΟΣΕ 4,412 22,,,
ΠΑΝΘΕΟΝ,"


0.05 Χλμ
",1,www.hotel-Ρatheon.gr,pantheon-alonisos@hotmail.com,24240-65139,24240-66194,Πατητήρι,ΠΑΤΗΤΗΡΙ ΑΛΟΝΝΗΣΟΥ,370 05,2424-065958,2424-066194,24240-65958
ΠΑΝΟΡΑΜΑ,"


25 Χλμ
",2,www.afissos-panorama.gr,xaralampos.aivazis@gmail.com,2423033373,2310534267,Άφυσσος,ΑΦΗΣΣΟΣ ΠΗΛΙΟΥ,370 10,2310511837,,2310511837
ΠΑΝΟΡΑΜΑ,"


0.3 Χλμ
",3,www.panoramastomio.gr,booking@panoramastomio.gr,24950-91345,24105002483,Στόμιο,ΣΤΟΜΙΟ ΛΑΡΙΣΑΣ,400 07,6934-999097,2492-025458,6934-999097
ΠΑΝΟΡΑΜΑ,"


12 Χλμ
",4,www.hotel-panorama.net,info@hotel-panorama.net,24270-49382,24270-49383,Σκιάθος,ΚΟΥΚΟΥΝΑΡΙΕΣ ΣΚΙΑΘΟΥ,370 02,2434-051813,,24270-49544
ΠΑΝΟΡΑΜΑ,"


22 Χλμ
",3,www.zampakashotel.gr,zampakas-hotel@hotmail.com,24340-93000,24340-93470,Στουρναραίικα,ΣΤΟΥΡΝΑΡΑΙΚΑ ΤΡΙΚΑΛΩΝ,420 32,,,
ΠΑΝΟΡΑΜΑ,"


1.5 Χλμ
",2,hotelpanorama-mouzaki.gr,panoramamouzaki@yahoo.gr,2445041313,24450-49015,Μουζάκι,,430 60,,,
ΠΑΝΟΡΜΟΣ ΜΠΗΤΣ ΣΚΟΠΕΛΟΣ,"


11 Χλμ
",2,www.panormos-beach.com,angelosfalcos@gmail.com,6980720810,24240-23366,Πάνορμος,ΠΑΝΟΡΜΟΣ ΣΚΟΠΕΛΟΥ,370 03,2421-049296,2424-023366,
ΠΑΝΤΕΛΗΣ,"


0.1 Χλμ
",1,,,24240-22306,,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2421-047448,,
ΠΑΝΤΕΛΙΔΑΚΗ,"


1 Χλμ
",3,www.divanitrikala.gr,padelidakis2016@gmail.com,24310-27286,24310-20519,Τρίκαλα,ΔΙΟΝΥΣΙΟΥ 13,421 00,,,24310-26915
ΠΑΠΑΝΑΣΤΑΣΙΟΥ,"


13 Χλμ
",2,www.hotelpapanastasiou.gr,info@hotelpapanastasiou.gr,24340-71280,24340-71153,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,24340-71150
ΠΑΡΑΔΕΙΣΟΣ,,2,www.paradisoshotel.gr,info@paradisoshotel.gr,24260-49209,24260-49008,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ ΠΗΛΙΟΥ,370 12,,,
ΠΑΡΑΔΕΙΣΟΣ,"


0.3 Χλμ
",3,www.paradise-hotel.gr,info@paradise-hotel.gr,24240-65160,24240-65161,Πατητήρι,ΑΛΟΝΝΗΣΟΣ,370 05,24240-65658,24240-65806,24240-65213
ΠΑΡΑΔΕΙΣΟΣ,"


3 Χλμ
",3,www.paradiseholidays.gr,info@paradiseholidays.gr,24270-21939,24270-23346,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2433-031065,,24270-23201
ΠΑΡΑΔΟΣΙΑΚΟΣ ΞΕΝΩΝ ΤΗΣ ΜΑΡΙΩΣ,"


8 Χλμ
",4,,traditional.tismarios@gmail.com,24280-99535,,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,
ΠΑΡΚ,"


1 Χλμ
",4,www.amhotels.gr,parkhotelvolos@amhotels.gr,24210-36511,24210-28645,Βόλος,ΔΕΛΗΓΙΩΡΓΗ 2,382 21,,,24210-36512
ΠΑΡΚ,"


0.4 Χλμ
",4,www.parkhotellarisa.gr,reserve@parkhotellarisa.gr,2410-257071,2410-257071,Λάρισα,31ΗΣ ΑΥΓΟΥΣΤΟΥ 1,412 21,,,2410-257074
ΠΕΛΙΑΣ,"


12 Χλμ
",2,www.peliashotel.gr,info@hotelpelias.gr,24280-99290,24280-99840,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,24280-99840
ΠΕΝΤΑΝΕΜΙ,,3,,,24260-49049,,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ,370 12,,,
ΠΕΤΙΤ ΜΟΡΦΩ,"


0.2 Χλμ
",1,,maryliti@yahoo.gr,24270-21737,24270-24507,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-023663,,
ΠΕΤΡΑΔΙ,,3,www.petradihotel.com,info@kouklouberis.gr,24230-55590,,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΠΕΤΡΙΝΟ,"


1 Χλμ
",2,www.petrino-pelion.gr,petrino.pelion@gmail.com,24280-99966,24280-99988,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,
ΠΕΤΡΙΝΟ,"


2 Χλμ
",5,www.petrino.gr,info@petrino.gr,2432078105,24320-78106,Καστράκι,ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
ΠΗΓΑΣΟΣ,"


0.5 Χλμ
",2,www.pegasuskalanera.gr,info@pegasuskalanera.gr,24230-23111,24230-23112,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΠΗΛΙΟΥ,370 10,,,24230-22254
ΠΗΛΙΟ ΧΟΛΙΝΤΕΗ ΚΛΑΜΠ,"


3 Χλμ
",4,www.pilioholidayclub.gr,info@pilioholidayclub.gr,2426049577,2426049933,Τσαγκαράδα,ΜΥΛΟΠΟΤΑΜΟΣ,370 12,,,
ΠΗΛΙΟΝ ΘΕΡΕΤΡΟ,"


12 Χλμ
",4,www.pelionresort.gr,info@pelionresort.gr,24280-99990,24280-99904,Πορταριά,ΚΑΡΑΒΟΣ ΠΟΡΤΑΡΙΑΣ,370 11,,,24280-99930
ΠΗΛΙΟΝ ΤΕΡΡΑ-ΓΗ ΤΟΥ ΠΗΛΙΟΥ,,3,pilionterra.gr,info@pilionterra.gr,24280-99799,24280-99792,Πορταριά,ΘΕΣΗ ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΣ,370 11,,,
ΠΙΝΑΚΩΤΗ ΡΗΓΑ,,3,www.pinakotilodge.gr,info@pinakotilodge.gr,2423086912,,Πινακάτες,ΠΙΝΑΚΑΤΕΣ ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΠΙΝΔΟΣ,"


0.1 Χλμ
",1,www.loutra-smokovou.gr,info@loutra-smokovou.gr,24430-61210,24430-61178,Λουτρά Σμοκόβου,ΡΕΝΤΙΝΑ,430 68,,,24430-61330
ΠΛΑΖΑ,"


5 Χλμ
",3,www.plaza.gr,plaza@plaza.gr,24270-21971/4,24270-22109,Σκιάθος,ΚΑΝΑΠΙΤΣΑ ΣΚΙΑΘΟΥ,370 02,2427-021971/4,2427-022109,
ΠΛΑΤΑΝΙΑ,"


29 Χλμ
",1,,gaitanas_m@yahoo.gr,24230-71240,24230-71266,Πλατανιάς,,370 06,2423-071240,2423-071266,
ΠΛΑΤΑΝΙΔΙΑ,"


1 Χλμ
",2,,platanidiahotel@gmail.com,24280-93625,,Πλατανίδια,ΠΛΑΤΑΝΙΔΙΑ ΑΝΩ ΛΕΧΩΝΙΩΝ,385 00,,,
ΠΛΕΙΑΔΕΣ,"


28 Χλμ
",3,www.pelionpleiadeshotel.gr,info@pelionpleiadeshotel.gr,24280-74211,24280-74211,Χάνια,,370 11,6945583131,,6945583131
ΠΟΘΟΣ,"


0.3 Χλμ
",2,www.pothoshotel.com,info@pothoshotel.com,2427022694,24270-23243,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,,,2427022321
ΠΟΡΤΑΡΙΑ,"


13 Χλμ
",4,www.portariahotel.gr,info@portariahotel.gr,2428090000,2428099066,Πορταριά,ΠΟΡΤΑΡΙΑ,370 11,,,2428099893
ΠΟΥΝΤΑ,"


2 Χλμ
",4,,vandatr@otenet.gr,24270-22850,24270-21801,Σκιάθος,ΠΟΥΝΤΑ ΣΚΙΑΘΟΥ,370 02,2427-021800,2427-021802,
ΠΡΙΓΚΗΠΑΣ ΣΤΑΦΥΛΟΣ,"


0.7 Χλμ
",4,www.princestafilos.gr,info@princestafilos.gr,2424022775,2424022825,Σκόπελος,ΛΕΙΒΑΔΙ ΣΚΟΠΕΛΟΥ,370 03,2431070275,2431073111,2424022744
ΠΡΩΤΕΣΙΛΑΟΣ,"


18 Χλμ
",2,www.protessilaos.com,info@protessilaos.com,24280-78780,24280-77551,Νέα Αγχίαλος,ΝΕΑ ΑΓΧΙΑΛΟΣ ΜΑΓΝΗΣΙΑΣ,374 00,,,24280-76310
ΠΥΛΗ,"


2 Χλμ
",2,www.pylihotel.gr,info@pylihotel.gr,24340-23191,,Πύλη,ΠΥΛΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΠΥΡΑΣΣΟΣ,"


0.5 Χλμ
",1,www.hotelpyrassos.gr,pyrassos@gmail.com,24280-76256,24280-76925,Νέα Αγχίαλος,ΚΑΣΝΕΤΗ 36,374 00,,,24280-76449
ΠΥΡΓΟΣ ΑΔΡΑΧΤΙ,"


2 Χλμ
",3,www.hotel-adrachti.gr,info@hotel-adrachti.gr,24320-22275,24320-22219,Καλαμπάκα,ΚΑΛΑΜΠΑΚΑ,422 00,,,
ΡΕΑ,"


0.6 Χλμ
",2,www.reaskiathos.gr,rea1htl@otenet.gr,2427023065,24270-22480,Σκιάθος,ΜΕΓΑΛΗ ΑΜΜΟΣ ΣΚΙΑΘΟΥ,370 02,6997076817,2427-022480,
ΡΕΓΓΙΝΑ,"


0.2 Χλμ
",2,,vainasaccom@gmail.com,24240-22138,24240-24748,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,21-09230515,2424-022228,24240-22228
ΡΕΝΕ,"


0.5 Χλμ
",2,www.hotelrene.gr,hotelrene@gmail.com,24270-23557,,Σκιάθος,ΦΤΕΛΙΑ ΣΚΙΑΘΟΥ,370 02,6977-594300,,
ΡΕΞ,"


1 Χλμ
",3,www.hotelrex.gr,info@hotelrex.gr,24320-22042,24320-22372,Καλαμπάκα,ΠΑΤΡ. ΔΗΜΗΤΡΙΟΥ 11,422 00,2432022042,2432022372,24320-25362
ΡΗΓΑΣ,"


0.5 Χλμ
",3,www.skopeloshotels.eu,rigas@skopeloshotels.eu,24240-22618,24240-22350,Σκόπελος,ΣΤΑΦΥΛΟΥ,370 03,2424-022618,2424-022770,24240-22142
ΡΟΔΙΑ,"


0.5 Χλμ
",2,www.hotel-rodia.gr,rodiada@otenet.gr,24230-22070,24230-22566,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,24230-22544
ΡΟΥΜΕΛΗ,"


18 Χλμ
",1,,roumelihotel@gmail.com,24230-222217,24230-22068,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΠΗΛΙΟΥ,370 10,,,
ΡΟΥΣΣΑΣ,"


0.05 Χλμ
",1,,roussaki14@gmail.com,24210-21732,,Βόλος,ΙΑΤΡΟΥ ΤΖΑΝΟΥ 1,382 22,,,
ΣΑΪΛΥ ΜΠΗΤΣ,"


20 Χλμ
",2,www.saily.gr,info@saily.gr,24230-22044,24230-23075,Κορόπη,ΚΟΡΩΠΗ ΜΗΛΕΩΝ ΜΑΓΝΗΣΙΑΣ,370 10,2421-033213,2423-023075,24230-22841
ΣΑΜΠΟΥΚΟ,,4,www.sabouko.gr,aspakr@gmail.com,2423086717,,Βυζίτσα,,37010,,,
ΣΕΒΙΛΛΗ,"


10 Χλμ
",2,www.sevilli.gr,sevilli@otenet.gr,24260-31238,24260-31122,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,,,
ΣΕΙΡΙΟΣ,"


2.8 Χλμ
",4,www.seiriosmansion.gr,info@seiriosmansion.gr,24230-86807,24230-86804,Βυζίτσα,ΒΥΖΙΤΣΑ ΜΑΓΝΗΣΙΑΣ,370 12,,,
